#漢字	音標	解釋	繁簡
姦	kan1		簡
簡	kan3		簡
揀	kan3		簡
繭	kan3		簡
間	kan5	~断,~或	簡
諫	kan5		簡
顏	ŋan2		簡
頑	ŋan2		簡
閒	∅an2		簡
閑	∅an2		簡
鰥	kuan1		簡
關	kuan1		簡
慣	kuan5		簡
彎	∅uan1		簡
灣	∅uan1		簡
還	∅uan2	~有	簡
還	∅uan2	~有	簡
環	∅uan2		簡
販	∅uan3		簡
翫	∅uan4		簡
辮	pin4		簡
辯	pin6		簡
騙	pʰin5		簡
編	ɓin1		簡
邊	ɓin1		簡
貶	ɓin3		簡
變	ɓin5		簡
綿	min2		簡
緬	min4		簡
澠	min4		簡
麪	min6		簡
鮮	fin1	新~	簡
錢	fin2		簡
鮮	fin3	~少	簡
蘚	fin3		簡
踐	fin4		簡
線	fin5		簡
漸	fin6		簡
賤	fin6		簡
餞	fin6		簡
羨	fin6		簡
塡	tin2		簡
濺	tin5		簡
薦	tin5		簡
電	tin6		簡
遷	tʰin1		簡
韆	tʰin1		簡
淺	tʰin3		簡
顚	ɗin1		簡
攆	nin3		簡
連	lin2		簡
憐	lin2		簡
蓮	lin2		簡
練	lin6		簡
煉	lin6		簡
氈	tsin1		簡
戰	tsin5		簡
硏	ȵin2		簡
纏	sin2		簡
單	sin6	姓	簡
禪	sin6	~让	簡
堅	kin1		簡
見	kin5		簡
鍵	kin6		簡
軒	hin1		簡
牽	hin1		簡
顯	hin3		簡
憲	hin5		簡
獻	hin5		簡
煙	∅in1		簡
菸	∅in1		簡
賢	∅in2		簡
絃	∅in2		簡
嚥	∅in5		簡
諺	∅in6		簡
硯	∅in6		簡
現	∅in6		簡
盤	pun2		簡
絆	ɓun5		簡
瞞	mun2		簡
謾	mun2		簡
門	mun2		簡
滿	mun4		簡
悶	mun5		簡
痠	fun1		簡
孫	fun1		簡
選	fun3		簡
損	fun3		簡
鏇	fun6	~吃~做	簡
鑽	tun1	动词	簡
團	tun2		簡
糰	tun2		簡
鑽	tun5	木用工具	簡
斷	ɗun4	~绝	簡
斷	ɗun6	决~	簡
鍛	ɗun6		簡
緞	ɗun6		簡
鸞	lun2		簡
戀	lun4		簡
亂	lun6		簡
觀	kun1	参~	簡
館	kun3		簡
貫	kun5		簡
觀	kun5	~寺	簡
寬	∅un1		簡
歡	∅un1		簡
緩	∅un4		簡
翫	∅un4	古~,游~	簡
喚	∅un6		簡
煥	∅un6		簡
換	∅un6		簡
聯	lyn2		簡
專	tsyn1		簡
磚	tsyn1		簡
轉	tsyn3	~螺丝	簡
轉	tsyn3	~螺丝	簡
傳	tsyn5	传记	簡
軟	ȵyn4		簡
願	ȵyn6		簡
鏇	syn2		簡
傳	syn2	~达	簡
絹	kyn1		簡
權	kyn2		簡
顴	kyn2		簡
捲	kyn3		簡
勸	hyn5		簡
淵	∅yn1		簡
圓	∅yn2		簡
員	∅yn2		簡
緣	∅yn2		簡
鉛	∅yn2		簡
轅	∅yn2		簡
園	∅yn2		簡
懸	∅yn2		簡
遠	∅yn4		簡
縣	∅yn6		簡
貧	pən2		簡
頻	pən2		簡
墳	pən2		簡
噴	pʰən5	~香,~嚏	簡
噴	pʰən5	~香,~嚏	簡
賓	ɓən1		簡
檳	ɓən1		簡
殯	ɓən1		簡
鬢	ɓən1		簡
錛	ɓən1		簡
稟	ɓən3		簡
稟	ɓən3		簡
糞	ɓən6		簡
閩	mən2		簡
紋	mən2		簡
聞	mən2		簡
憫	mən4		簡
問	mən6		簡
燻	fən1		簡
勳	fən1		簡
葷	fən1		簡
盡	fən4		簡
儘	fən4		簡
憤	fən4		簡
訊	fən5		簡
訓	fən5		簡
奮	fən6		簡
鈍	tən2		簡
進	tən5		簡
晉	tən5		簡
儁	tən5		簡
親	tʰən1	~家	簡
親	tʰən1	~家	簡
飩	tʰən1		簡
頓	ɗən3		簡
鄰	lən2		簡
鱗	lən2		簡
倫	lən2		簡
淪	lən2		簡
輪	lən2		簡
論	lən6	议~	簡
侖	lən6		簡
崙	lən6		簡
論	lən6	议~	簡
眞	tsən1		簡
診	tsən3		簡
緊	tsən3		簡
僅	tsən3		簡
謹	tsən3		簡
準	tsən3		簡
鎭	tsən5		簡
陣	tsən6		簡
襯	tsʰən5		簡
認	ȵən6		簡
韌	ȵən6		簡
陳	sən2		簡
塵	sən2		簡
脣	sən2		簡
純	sən2		簡
腎	sən4		簡
愼	sən6		簡
順	sən6		簡
銀	ŋən2		簡
懇	hən3		簡
墾	hən3		簡
潤	ȵiən6		簡
閏	ȵiən6		簡
隱	∅iən3		簡
鈞	kuən1		簡
軍	kuən1		簡
羣	kuən2		簡
滾	kuən3		簡
崑	kʰuən1		簡
睏	kʰuən5		簡
溫	∅uən1		簡
紛	∅uən1		簡
餛	∅uən2		簡
渾	∅uən2		簡
勻	∅uən2		簡
雲	∅uən2		簡
暈	∅uən2		簡
穩	∅uən3		簡
韻	∅uən6		簡
運	∅uən6		簡
幹	koᵃn1	~湿	簡
乾	koᵃn1	~湿	簡
幹	koᵃn1	~湿	簡
乾	koᵃn1	~湿	簡
桿	koᵃn3		簡
稈	koᵃn3		簡
稈	koᵃn3		簡
漢	hoᵃn5		簡
韓	∅oᵃn2		簡
爭	tsaŋ1		簡
箏	tsaŋ1		簡
睜	tsaŋ1		簡
撐	tsʰaŋ5		簡
倖	∅aŋ6		簡
橫	∅uaŋ2	蛮~	簡
橫	∅uaŋ2	蛮~	簡
評	peŋ2		簡
甁	peŋ2		簡
屛	peŋ2		簡
並	peŋ4	~且	簡
倂	peŋ4	~且	簡
幷	peŋ4	~且	簡
餠	ɓeŋ3		簡
並	ɓeŋ3	合~	簡
倂	ɓeŋ3	合~	簡
幷	ɓeŋ3	合~	簡
鳴	meŋ2		簡
銘	meŋ2		簡
靜	feŋ4		簡
淨	feŋ6		簡
錠	teŋ4		簡
鋌	teŋ4		簡
淸	tʰeŋ1		簡
廳	tʰeŋ1		簡
靑	tʰeŋ1		簡
請	tʰeŋ3		簡
聽	tʰeŋ5		簡
釘	ɗeŋ1		簡
頂	ɗeŋ3		簡
訂	ɗeŋ6	~约	簡
寧	neŋ2		簡
淩	leŋ2		簡
靈	leŋ2		簡
鈴	leŋ2		簡
領	leŋ4		簡
嶺	leŋ4		簡
徵	tseŋ1		簡
貞	tseŋ1		簡
偵	tseŋ1		簡
徵	tseŋ1		簡
證	tseŋ5		簡
証	tseŋ5		簡
癥	tseŋ5		簡
證	tseŋ5		簡
証	tseŋ5		簡
鄭	tseŋ6		簡
稱	tsʰeŋ1	相~	簡
稱	tsʰeŋ1	相~	簡
昇	seŋ1		簡
聲	seŋ1		簡
懲	seŋ2		簡
繩	seŋ2		簡
蠅	seŋ2		簡
誠	seŋ2		簡
勝	seŋ5		簡
聖	seŋ5		簡
荊	keŋ1		簡
驚	keŋ1		簡
鯨	keŋ1		簡
經	keŋ1		簡
頸	keŋ3		簡
鏡	keŋ5		簡
競	keŋ6		簡
勁	keŋ6		簡
徑	keŋ6		簡
瓊	keŋ6		簡
傾	kʰeŋ1		簡
頃	kʰeŋ3		簡
輕	heŋ1		簡
興	heŋ5		簡
應	∅ieŋ1	~当,~用	簡
鷹	∅ieŋ1		簡
鶯	∅ieŋ1		簡
鸚	∅ieŋ1		簡
櫻	∅ieŋ1		簡
嬰	∅ieŋ1		簡
纓	∅ieŋ1		簡
贏	∅ieŋ2		簡
螢	∅ieŋ2		簡
滎	∅ieŋ2		簡
應	∅ieŋ5	~对,响~	簡
榮	∅ueŋ2		簡
營	∅ueŋ2		簡
詠	∅ueŋ4		簡
穎	∅ueŋ4		簡
謗	pøᵃŋ6		簡
钁	pʰøᵃŋ5		簡
鐝	pʰøᵃŋ5		簡
幫	ɓøᵃŋ1		簡
綁	ɓøᵃŋ3		簡
網	møᵃŋ4		簡
輞	møᵃŋ4		簡
喪	føᵃŋ1	~事	簡
彷	føᵃŋ3		簡
訪	føᵃŋ3		簡
喪	føᵃŋ5	~失	簡
髒	føᵃŋ6		簡
臟	føᵃŋ6		簡
贓	tøᵃŋ1		簡
蕩	tøᵃŋ6		簡
湯	tʰøᵃŋ1		簡
倉	tʰøᵃŋ1		簡
蒼	tʰøᵃŋ1		簡
