id	ini	fn	pt	漢字_程序改名	ipa调类	IPA_程序改名	注釋_程序改名	Unnamed: 8	Unnamed: 9	Unnamed: 10	Unnamed: 11	Unnamed: 12	ɔ	184
43	p	ɔ	33	玻	pɔ33	pɔ1	～璃	2					iu	19
44	pʰ	ɔ	451	破	pʰɔ451	pʰɔ5	～坏	2					on	45
45	pʰ	ɔ	25	婆	pʰɔ25	pʰɔ9	老～	2					æp	8
46	pʰ	ɔk	33	薄	pʰɔk33	pʰɔk1	～荷	2					iɛp	22
47	m	ɔ	33	魔	mɔ33	mɔ1	～术，～鬼	5					em	33
48	n	ɔ	213	磨	nɔ213	nɔ2	～刀，水～[动]	8					æn	1
49	l	ɔŋ	25	□	lɔŋ25	lɔŋ9	磨(豆浆)[动]	8					ɔn	252
50	ɬ	a	25	□	ɬa25	ɬa9	摩擦	2					iɛt	74
51	l	ɔŋ	25	□	lɔŋ25	lɔŋ9	石磨[名词]	6					iɐm	8
52	kʰ	ɔŋ	33	□	kʰɔŋ33	kʰɔŋ1	一朵花，花朵	6					un	38
53	s	an	31	□	san31	san3	～避，～开	5					y	1
54	ts	am	31	斬	tsam31	tsam3	～猪肉，～肉丸	7					iœt	10
55	ŋ	am	33	啱	ŋam33	ŋam1	～当	2					uk	8
56	tʰ	ɔ	25	椭	tʰɔ25	tʰɔ9	～圆	2					iɐt	1
57	s	ɐi	21	唾	sɐi213	sɐi2	～弃，～液	5					iœn	47
58	tʰ	ɔ	31	惰	tʰɔ31	tʰɔ3	～性	2					iœk	2
59	n	ɔ	31	糯	nɔ31	nɔ3	～米	2					iœŋ	5
60	l	ɔ	25	騾	lɔ25	lɔ9		0					oŋ	119
61	l	ɔ	25	螺	lɔ25	lɔ9	田～	2					m̍	1
62	v	ɔ	33	腡	vɔ33	vɔ1	手指纹	3					iɛ	1
63	l	ɔ	451	囉	lɔ451	lɔ5	喽～，～嗦	5					ɛm	1
64	k	ɔ	31	裸	kɔ31	kɔ3	～体	2						
65	tʰ	ɔ	25	銼	tʰɔ25	tʰɔ9	～刀	2						
66	tsʰ	ɔ	33	坐	tsʰɔ33	tsʰɔ1	～车，～稳	5						
67	tsʰ	ɔ	31	座	tsʰɔ31	tsʰɔ3	～位，上～	5						
68	ɬ	ɔ	33	簑	ɬɔ33	ɬɔ1	棕～，～衣	5						
