#漢字	音標	解釋	繁簡
俬	ʃɐi1		簡
獅	ʃɐi1		簡
絲	ʃɐi1		簡
賜	ʃɐi5		簡
幾	kɐi1	～乎	簡
飢	kɐi1	～饿	簡
饑	kɐi1	～饿	簡
飢	kɐi1	～荒	簡
饑	kɐi1	～荒	簡
機	kɐi1		簡
譏	kɐi1		簡
紀	kɐi3	年～	簡
幾	kɐi3	～个	簡
紀	kɐi5	～念	簡
記	kɐi5		簡
幾	kɐi9a	茶～	簡
騎	kʰɐi2		簡
餌	ŋɐi4		簡
犧	hɐi1		簡
煕	hɐi1		簡
豈	hɐi3		簡
氣	hɐi5		簡
棄	hɐi5		簡
戲	hɐi5		簡
餼	hɐi5	喂（猪）	簡
幣	pɔi5		簡
閉	pɔi5		簡
斃	pɔi5		簡
謎	mɔi2		簡
揮	fɔi1		簡
輝	fɔi1		簡
廢	fɔi5		簡
費	fɔi5		簡
爲	wɔi2	行～	簡
維	wɔi2		簡
遺	wɔi2		簡
違	wɔi2		簡
圍	wɔi2		簡
諱	wɔi4		簡
偉	wɔi4		簡
緯	wɔi4		簡
葦	wɔi4		簡
衛	wɔi5		簡
爲	wɔi5	～什么	簡
謂	wɔi5		簡
牴	tɔi3		簡
遞	tɔi5		簡
隸	tɔi5		簡
題	tʰɔi2		簡
體	tʰɔi3		簡
禮	lɔi4		簡
麗	lɔi5		簡
厲	lɔi5		簡
勵	lɔi5		簡
擠	tʃɔi1		簡
劑	tʃɔi1		簡
際	tʃɔi5		簡
滯	tʃɔi5		簡
製	tʃɔi5	～度	簡
製	tʃɔi5	～造	簡
濟	tʃɔi5		簡
棲	tʃʰɔi1		簡
齊	tʃʰɔi2		簡
篩	ʃɔi1	米～	簡
勢	ʃɔi5		簡
細	ʃɔi5		簡
雞	kɔi1		簡
計	kɔi5		簡
繼	kɔi5		簡
啓	kʰɔi3		簡
蟻	ŋɔi4		簡
藝	ŋɔi5		簡
僞	ŋɔi5		簡
係	hɔi5		簡
繫	hɔi5		簡
聯	hɔi5	～系，～统	簡
係	hɔi5	～鞋	簡
繫	hɔi5	～鞋	簡
帶	hɔi5		簡
係	hɔi5	是	簡
繫	hɔi5	是	簡
歸	kʷɔi1		簡
龜	kʷɔi1		簡
閨	kʷɔi1		簡
詭	kʷɔi3		簡
軌	kʷɔi3		簡
櫃	kʷɔi5		簡
貴	kʷɔi5		簡
虧	kʰʷɔi1		簡
規	kʰʷɔi1		簡
窺	kʰʷɔi1		簡
攜	kʰʷɔi2		簡
鮑	pau1		簡
飽	pau3		簡
拋	pʰau1		簡
拋	pʰau1		簡
謀	mau2		簡
畝	mau4		簡
貿	mau5		簡
謬	mau5		簡
貓	mau9a	文	簡
鬥	tau3	十升为一～	簡
糾	tau3	～缠	簡
糾	tau3	～正	簡
鬥	tau5	～争	簡
偸	tʰau1		簡
頭	tʰau2		簡
㪗	tʰau3		簡
紐	nau3		簡
鬧	nau5		簡
撈	lau2	～鱼	簡
餚	lau2		簡
樓	lau2		簡
簍	lau2		簡
劉	lau2		簡
撈	lau2	～鱼	簡
摟	lau3		簡
餾	lau5		簡
週	tʃau1		簡
賙	tʃau1		簡
鄒	tʃau1		簡
幹	tʃau1		簡
乾	tʃau1		簡
晝	tʃau5		簡
紂	tʃau5		簡
皺	tʃau5		簡
驟	tʃau5		簡
鞦	tʃʰau1	～千	簡
鞦	tʃʰau1	～天	簡
鰍	tʃʰau1		簡
綢	tʃʰau2		簡
籌	tʃʰau2		簡
鈔	tʃʰau3		簡
醜	tʃʰau3	子～寅卯	簡
醜	tʃʰau3	～陋	簡
湊	tʃʰau5		簡
脩	ʃau1		簡
餿	ʃau1		簡
讎	ʃau2		簡
