#漢字	音標	解釋	繁簡
內	nui³¹		簡
瘻	lui³¹		簡
壘	lui³¹		簡
類	lui³¹		簡
淚	lui³¹		簡
敍	tsui³¹		簡
趨	tsʰui⁵⁵		簡
隨	tsʰui³⁵		簡
須	sui⁵⁵		簡
鬚	sui⁵⁵		簡
雖	sui⁵⁵		簡
綏	sui⁵⁵		簡
墜	sui³¹		簡
錐	tʂui⁵⁵		簡
龜	kui⁵⁵		簡
閨	kui⁵⁵		簡
歸	kui⁵⁵		簡
潰	kui³¹		簡
詭	kui³¹		簡
軌	kui³¹		簡
虧	kʰui⁵⁵		簡
規	kʰui⁵⁵		簡
窺	kʰui⁵⁵		簡
櫃	kʰui³¹		簡
擔	tam⁵⁵		簡
膽	tam³¹		簡
擔	tam⁵²	挑~	簡
貪	tʰam⁵⁵		簡
譚	tʰam³⁵		簡
談	tʰam³¹		簡
藍	lam³⁵		簡
籃	lam³⁵		簡
覽	lam³¹		簡
纜	lam³¹		簡
攬	lam³¹		簡
欖	lam³¹		簡
濫	lam³¹		簡
檁	lam³¹		簡
艦	lam³¹		簡
斬	tsam³¹		簡
參	tsʰam⁵⁵		簡
蔘	tsʰam⁵⁵		簡
蠶	tsʰam³⁵		簡
讒	tsʰam³⁵		簡
饞	tsʰam³⁵		簡
攙	tsʰam³⁵		簡
慘	tsʰam³¹		簡
慚	tsʰam³¹		簡
暫	tsʰam³¹		簡
參	sam⁵⁵		簡
蔘	sam⁵⁵		簡
滲	sam³¹		簡
霑	tʂam⁵⁵		簡
佔	tʂam⁵⁵		簡
佔	tʂam⁵²		簡
陝	ʂam³¹		簡
閃	ʂam³¹		簡
監	kam⁵⁵	国子~	簡
減	kam³¹		簡
鑑	kam⁵²		簡
尷	kam⁵²		簡
監	kam⁵²	~视	簡
巖	ŋam³⁵		簡
龕	ham⁵⁵		簡
鹹	ham³⁵		簡
銜	ham³⁵		簡
餡	ham³¹		簡
菴	am⁵⁵		簡
闇	am⁵²		簡
點	tiam³¹		簡
墊	tiam⁵²		簡
鐮	liam³⁵		簡
臉	liam³¹		簡
殮	liam³¹		簡
斂	liam³¹		簡
殮	liam³¹		簡
籤	tsʰiam⁵⁵		簡
簽	tsʰiam⁵⁵		簡
殲	tsʰiam⁵⁵	~灭	簡
潛	tsʰiam³⁵		簡
漸	tsʰiam³¹		簡
嚴	ȵiam³⁵		簡
唸	ȵiam³¹		簡
驗	ȵiam³¹		簡
儼	ȵiam³¹		簡
撿	kiam³¹		簡
劍	kiam⁵²		簡
鉗	kʰiam³⁵		簡
儉	kʰiam³¹		簡
謙	hiam⁵⁵		簡
險	hiam³¹		簡
閹	iam⁵⁵		簡
鹽	iam³⁵		簡
豔	iam³¹		簡
閻	iam³¹		簡
厭	iam⁵²		簡
頒	pan⁵⁵		簡
闆	pan³¹		簡
絆	pan⁵²		簡
盤	pʰan³⁵		簡
鵬	pʰan³⁵		簡
辦	pʰan³¹		簡
滿	man⁵⁵		簡
瞞	man³⁵		簡
蠻	man³⁵		簡
饅	man³¹		簡
萬	man³¹		簡
範	fan³¹		簡
飯	fan³¹		簡
煩	fan³¹		簡
氾	fan⁵²		簡
汎	fan⁵²		簡
貶	fan⁵²		簡
彎	van⁵⁵		簡
灣	van⁵⁵		簡
輓	van³⁵		簡
還	van³⁵		簡
環	van³⁵		簡
單	tan⁵⁵		簡
燈	tan⁵⁵		簡
誕	tan⁵²		簡
灘	tʰan⁵⁵		簡
攤	tʰan⁵⁵		簡
彈	tʰan³⁵		簡
撣	tʰan³⁵		簡
騰	tʰan³⁵		簡
膽	tʰan³⁵		簡
嘆	tʰan⁵²		簡
難	nan³⁵	困~	簡
難	nan³¹	灾~	簡
懶	lan⁵⁵		簡
蘭	lan³⁵		簡
欄	lan³⁵		簡
攔	lan³⁵		簡
爛	lan³¹		簡
綻	tsan³¹		簡
盞	tsan³¹		簡
棧	tsan³¹		簡
贊	tsan⁵²		簡
層	tsʰan³⁵		簡
殘	tsʰan³⁵		簡
鏟	tsʰan³¹		簡
產	tsʰan³¹		簡
燦	tsʰan⁵²		簡
刪	san⁵⁵		簡
閂	san⁵⁵		簡
傘	san⁵²		簡
氈	tʂan⁵⁵		簡
戰	tʂan⁵²		簡
顫	tʂan⁵²		簡
纏	tʂʰan³⁵		簡
蟬	ʂan³⁵		簡
禪	ʂan³⁵		簡
羨	ʂan³¹		簡
單	ʂan³¹	姓	簡
艱	kan⁵⁵		簡
間	kan⁵⁵		簡
姦	kan⁵⁵		簡
簡	kan³¹		簡
澗	kan³¹		簡
鐧	kan³¹		簡
繭	kan³¹		簡
筧	kan³¹		簡
諫	kan⁵²		簡
間	kan⁵²	离~	簡
顏	ŋan³⁵		簡
頑	ŋan³⁵		簡
硏	ŋan³¹		簡
閒	han³⁵		簡
閑	han³⁵		簡
恆	han³⁵		簡
莧	han³¹		簡
邊	pian⁵⁵		簡
編	pian⁵⁵		簡
辮	pian⁵⁵		簡
貶	pian³¹		簡
變	pian⁵²		簡
辯	pʰian³¹		簡
騙	pʰian⁵²		簡
澠	mian⁵⁵		簡
綿	mian³⁵		簡
緬	mian³¹		簡
麪	mian⁵²		簡
顚	tian⁵⁵		簡
癲	tian⁵⁵		簡
塡	tʰian³⁵		簡
電	tʰian³¹		簡
輦	nian³¹		簡
連	lian³⁵		簡
蓮	lian³⁵		簡
憐	lian³⁵		簡
聯	lian³⁵		簡
練	lian³¹		簡
煉	lian³¹		簡
鏈	tsian⁵⁵		簡
箋	tsian⁵⁵		簡
濺	tsian³¹		簡
賤	tsian³¹		簡
餞	tsian⁵²		簡
遷	tsʰian⁵⁵		簡
韆	tsʰian⁵⁵		簡
錢	tsʰian³⁵		簡
淺	tsʰian³¹		簡
踐	tsʰian³¹		簡
鮮	sian⁵⁵		簡
癬	sian³¹		簡
線	sian⁵²		簡
願	ȵian³¹		簡
堅	kian⁵⁵		簡
見	kian⁵²		簡
權	kʰian³⁵		簡
觀	kʰian³⁵		簡
鍵	kʰian³¹		簡
牽	hian⁵⁵		簡
賢	hian³⁵		簡
絃	hian³⁵		簡
懸	hian³⁵		簡
現	hian³¹		簡
顯	hian³¹		簡
煙	ian⁵⁵		簡
菸	ian⁵⁵		簡
淵	ian⁵⁵		簡
彥	ian³⁵		簡
諺	ian³⁵		簡
圓	ian³⁵		簡
員	ian³⁵		簡
鉛	ian³⁵		簡
緣	ian³⁵		簡
園	ian³⁵		簡
轅	ian³⁵		簡
硯	ian³¹		簡
遠	ian³¹		簡
縣	ian⁵²		簡
關	kuan⁵⁵		簡
慣	kuan⁵²		簡
戀	lyan³⁵		簡
選	syan³¹		簡
鏇	syan³¹		簡
錠	syan³¹		簡
軟	ȵyan⁵⁵		簡
絹	kyan⁵⁵		簡
捲	kyan³¹		簡
勸	hyan⁵²		簡
爭	tsaŋ⁵⁵		簡
箏	tsaŋ⁵⁵		簡
撐	tsʰaŋ⁵⁵		簡
睜	tsʰaŋ⁵²		簡
掙	tsʰaŋ⁵²		簡
鄭	tʂʰaŋ³¹		簡
聲	ʂaŋ⁵⁵		簡
鶯	aŋ⁵⁵		簡
餠	piaŋ³¹		簡
銘	miaŋ³⁵		簡
釘	tiaŋ⁵⁵		簡
頂	tiaŋ³¹		簡
廳	tʰiaŋ⁵⁵		簡
聽	tʰiaŋ⁵⁵		簡
嶺	liaŋ⁵⁵		簡
領	liaŋ⁵⁵	~导	簡
靑	tsʰiaŋ⁵⁵		簡
請	tsʰiaŋ³¹		簡
淨	tsʰiaŋ³¹		簡
驚	kiaŋ⁵⁵		簡
頸	kiaŋ³¹		簡
鏡	kiaŋ⁵²		簡
輕	hiaŋ⁵⁵		簡
營	iaŋ³⁵		簡
螢	iaŋ³⁵		簡
贏	iaŋ³⁵		簡
塋	iaŋ³⁵		簡
轟	kuaŋ⁵⁵		簡
橫	uaŋ³⁵		簡
賓	pen⁵⁵		簡
檳	pen⁵⁵		簡
濱	pen⁵⁵		簡
殯	pen⁵²		簡
鬢	pen⁵²		簡
貧	pʰen³⁵		簡
頻	pʰen³⁵		簡
憑	pʰen³⁵		簡
評	pʰen³⁵		簡
逬	pʰen⁵²		簡
憫	men⁵⁵		簡
閩	men³⁵		簡
鳴	men³⁵		簡
訂	ten⁵²		簡
錠	tʰen³¹		簡
鋌	tʰen³¹		簡
鄧	tʰen⁵²		簡
聽	tʰen⁵²	~任	簡
寧	nen³¹	~可	簡
鄰	len³⁵		簡
鱗	len³⁵		簡
贈	tsʰen³¹	~送	簡
眞	tʂen⁵⁵		簡
徵	tʂen⁵⁵		簡
貞	tʂen⁵⁵		簡
偵	tʂen⁵⁵		簡
鎭	tʂen⁵²		簡
證	tʂen⁵²		簡
証	tʂen⁵²		簡
癥	tʂen⁵²		簡
稱	tʂʰen⁵⁵	~呼	簡
陳	tʂʰen³⁵		簡
塵	tʂʰen³⁵		簡
現	tʂʰen³⁵		簡
陣	tʂʰen³¹		簡
診	tʂʰen³¹		簡
稱	tʂʰen⁵²	相~	簡
昇	ʂen⁵⁵		簡
勝	ʂen⁵⁵		簡
昇	ʂen⁵⁵		簡
繩	ʂen³⁵		簡
蠅	ʂen³⁵		簡
腎	ʂen³¹		簡
愼	ʂen³¹		簡
聖	ʂen⁵²		簡
勝	ʂen⁵²	~败	簡
僅	ken³¹		簡
緊	ken³¹		簡
謹	ken³¹		簡
勁	ken³¹		簡
莖	ken⁵²		簡
懇	kʰen³¹		簡
銀	ŋen³⁵		簡
墾	hen³¹		簡
倖	hen³¹		簡
針	tʂəm⁵⁵		簡
瀋	ʂəm³¹		簡
審	ʂəm³¹		簡
嬸	ʂəm³¹		簡
臨	lim³⁵		簡
尋	tsʰim³⁵		簡
瀋	tsʰim³⁵		簡
寢	tsʰim³¹		簡
飮	ȵim³¹	~酒	簡
賃	ȵim³¹	租~	簡
錦	kim³¹		簡
軟	kʰim⁵⁵		簡
撳	kʰim³¹		簡
陰	im⁵⁵		簡
蔭	im⁵⁵		簡
並	pin⁵²		簡
倂	pin⁵²		簡
幷	pin⁵²		簡
甁	pʰin³⁵		簡
屛	pʰin³⁵		簡
釘	tin⁵⁵		簡
寧	nin³⁵	安~	簡
靈	lin⁵⁵		簡
淩	lin³⁵		簡
進	tsin⁵²		簡
晉	tsin⁵²		簡
親	tsʰin⁵⁵		簡
淸	tsʰin⁵⁵		簡
盡	tsʰin³¹		簡
儘	tsʰin³¹		簡
儘	tsʰin³¹		簡
靜	tsʰin³¹		簡
親	tsʰin⁵²	~家	簡
訊	sin⁵²		簡
認	ȵin³¹		簡
荊	kin⁵⁵		簡
經	kin⁵⁵		簡
競	kin³¹		簡
徑	kin⁵²		簡
勁	kin⁵²		簡
傾	kʰin⁵⁵		簡
鯨	kʰin³⁵		簡
瓊	kʰin³⁵		簡
頃	kʰin³¹		簡
興	hin⁵⁵	~旺	簡
慶	hin⁵²	~祝	簡
興	hin⁵²	高~	簡
鷹	in⁵⁵		簡
鸚	in⁵⁵		簡
櫻	in⁵⁵		簡
嬰	in⁵⁵		簡
纓	in⁵⁵		簡
應	in⁵⁵	~当	簡
繩	in⁵⁵	白	簡
隱	in³¹		簡
釁	in³¹		簡
應	in⁵²	响~	簡
雲	yn³⁵		簡
韻	yn³¹		簡
運	yn³¹		簡
暈	yn³¹		簡
歡	fon⁵⁵		簡
緩	von³¹		簡
翫	von³¹		簡
喚	von³¹		簡
煥	von³¹		簡
換	von³¹		簡
鍛	ton⁵²	~炼	簡
斷	ton⁵²	决~	簡
斷	tʰon⁵⁵	~绝	簡
團	tʰon³⁵		簡
糰	tʰon³⁵		簡
緞	tʰon³¹		簡
亂	lon³¹		簡
攢	tson³¹	积~	簡
鑽	tson⁵²		簡
竄	tsʰon³³¹		簡
痠	son⁵⁵		簡
專	tʂon⁵⁵		簡
磚	tʂon⁵⁵		簡
轉	tʂon³¹		簡
傳	tʂʰon³⁵		簡
傳	tʂʰon³¹	~记	簡
幹	kon⁵⁵	~涉	簡
乾	kon⁵⁵	~涉	簡
趕	kon³¹		簡
桿	kon³¹		簡
稈	kon³¹	稻~	簡
韓	hon³⁵		簡
漢	hon⁵²		簡
觀	kuon⁵⁵		簡
鰥	kuon⁵⁵		簡
館	kuon³¹		簡
貫	kuon⁵²		簡
觀	kuon⁵²	姓	簡
寬	kʰuon⁵⁵		簡
幫	poŋ⁵⁵		簡
謗	poŋ³¹		簡
龐	pʰoŋ³⁵	~大	簡
謊	foŋ⁵⁵		簡
訪	foŋ³⁵		簡
彷	foŋ³¹		簡
紡	foŋ³¹		簡
黃	voŋ³⁵		簡
當	toŋ⁵⁵		簡
黨	toŋ³¹		簡
擋	toŋ³¹		簡
當	toŋ⁵²	~作	簡
湯	tʰoŋ⁵⁵		簡
蕩	tʰoŋ³¹		簡
燙	tʰoŋ⁵²		簡
郞	loŋ³⁵		簡
莊	tsoŋ⁵⁵		簡
髒	tsoŋ⁵⁵		簡
臟	tsoŋ⁵⁵		簡
裝	tsoŋ⁵⁵		簡
狀	tsoŋ³¹		簡
壯	tsoŋ⁵²		簡
