#漢字	音標	解釋
圖	tʰu2	画~，地~;画～，地～
團	tʰuan2	~结，~长;～结，～长
土	tʰu3	~地;～地
地	tʰi3	土~;土～
均	kun1	平~，~匀;平～，～匀
坐	tsʰɔ1	~车，~稳
坐	ʦʰɔ1	～车，～稳
坑	haŋ1	水~，~沟;水～，～沟
坤	kun1	乾~;乾～
坯	pʰɔi1	泥~，毛~房;泥～，毛～房
埋	mai1	~伏;～伏
城	saŋ2	~市，县~;～市，县～
基	ki1	~本，地~;～本，地～
堆	tɔi1	一~[量]，~放[动];一～[量]，～放[动]
報	pɔ5	~告，日~;～告，日～
塊	fai5	一~钱，~头;一～钱，～头
塔	tʰap7	宝~;宝～
塘	tʰɔŋ2	鱼~;鱼～
塞	ɬɛt8	堵~，~车;堵～，～车
墊	tʰiap8	~钱，座~;～钱，座～
墓	mu5	坟~，~地;坟～，～地
墨	mak8	~水;～水
墩	ten1	桥~;桥～
墳	fen2	~墓，上~;～墓，上～
壁	piak7	墙~;墙～
壓	at7	~力;～力
壞	vai3	~人;～人
壯	tʃɔŋ5	强~
壯	ʧɔŋ5	强～
壽	sɛu3	长~;长～
外	ŋɔi3	~面;～面
多	tɔ1	~少;～少
夜	ja3	日~，~班;日～，～班
夠	kɛ5	足~;足～
夢	muŋ3	发~;发～
大	tʰai3	大小
天	tʰien1	~才;～才
夫	fu1	~妻，车~;～妻，车～
失	set7	~去，丧~;～去，丧～
夾	kʰiap8	夹子;~心饼干;夹子；～心饼干
奏	tɕiu5	节~
奏	ʨiu5	节～
套	tʰɔ5	配~，~房;配～，～房
奪	tʰuat7	~取;～取
女	ny3	女人
奴	nu2	~隶;～隶
好	hɔ3	~人;～人
如	jy2	~果，假~;～果，假～
妹	mɔi5	妹妹，姊~，老~;妹妹，姊～，老～
姊	tɕia3	~妹
姊	ʨia3	～妹
姐	tɕia3	小~[文]
姐	ʨia3	小～[文]
姑	ku1	大~;大～
姓	ɬiaŋ5	~名;～名
委	vei1	~托，常~;～托，常～
姨	ji1	大~，~丈;大～，～丈
姪	tsʰet8	~子
姪	ʦʰet8	～子
威	vei1	~风，~胁;～风，～胁
娘	ȵiɔŋ2	姑~;姑～
婆	pʰɔ2	老~;老～
婚	fen1	结~;结～
嫂	ɬɔ3	大~;大～
嫌	sam2	~弃，~人;～弃，～人
嫩	nen3	不老
嬌	kiau1	~气，做~(撒娇);～气，做～（撒娇）
子	tsə3	~孙;孔~
子	ʦə3	～孙；孔～
字	sə3	~典，文~;～典，文～
存	tsʰen2	~在，~折，储~
存	ʦʰen2	～在，～折，储～
孝	hua5	~顺;～顺
孫	ɬen1	姓;子~;姓；子～
學	hɔk8	数~，~习;数～，～习
安	ɔn1	公~，~全;公～，～全
宗	tʃuŋ1	祖~，~教
宗	ʧuŋ1	祖～，～教
官	kuan1	~司，当~;～司，当～
宙	tsʰɛu3	宇~
宙	ʦʰɛu3	宇～
定	tʰɛn3	稳~;永~(地名);稳～；永～（地名）
客	hak8	请~;请～
宣	ɬiɛn1	~布，~传;～布，～传
害	hɔi3	~人;～人
家	ka1	老~，~庭;老～，～庭
容	jɔŋ2	~易，宽~;～易，宽～
宿	ɬuk7	~舍，住~;～舍，住～
密	met8	秘~，~封;秘～，～封
富	fu5	丰~，~贵;丰～，～贵
寒	hɔn2	大~，~流;大～，～流
察	tsʰat7	观~
察	ʦʰat7	观～
實	set7	老~，~在;老～，～在
寫	ɬia3	~字;～字
寬	fɔn1	~松;～松
寶	pɔ3	~贝;～贝
寸	tsʰen1	尺~
寸	ʦʰen1	尺～
寺	sə3	~庙，灵光~;～庙，灵光～
射	sa3	发~，~箭;发～，～箭
專	tʃuan1	~门，大~
專	ʧuan1	～门，大～
尊	zen1	~重;～重
尋	tsʰem2	~人
尋	ʦʰem2	～人
對	tui5	~错;成双成~;～错；成双成～
