#漢字	音標	解釋
虎	∅u3	
滸	∅u3	
府	∅u3	
腑	∅u3	
俯	∅u3	
戶	∅u4	
滬	∅u4	
褲	∅u5	
戽	∅u5	
奧	∅u5	
懊	∅u5	
富	∅u5	
互	∅u6	
護	∅u6	
瓠	∅u6	
惡	∅u6	恨，可~
噁	∅u6	恨，可~
芋	∅u6	
號	∅u6	~数
浩	∅u6	
號	∅u6	~数
須	fy1	
鬚	fy1	
需	fy1	
徐	fy2	
儲	fy4	
序	fy4	
敍	fy4	
緖	fy4	
聚	fy4	
□	fy5	袖子或头发等沾到水里、饭菜里、地面上等
趨	ty1	
蛆	tʰy1	
取	tʰy3	
娶	tʰy3	
趣	tʰy5	
□	ɗy3	眼睛水肿
□	ɗy5	蛰，被蜜蜂蛰
驢	ly2	
裏	ly3	~面
里	ly3	~面
裡	ly3	~面
呂	ly4	
呂	ly4	
旅	ly4	
縷	ly4	
屢	ly4	
履	ly4	
裏	ly4	
里	ly4	
裡	ly4	
慮	ly6	
濾	ly6	
豬	tsy1	
諸	tsy1	
褚	tsy1	
誅	tsy1	
蛛	tsy1	
株	tsy1	
朱	tsy1	
硃	tsy1	
硃	tsy1	
珠	tsy1	
煮	tsy3	
主	tsy3	
著	tsy5	
箸	tsy5	
駐	tsy5	
注	tsy5	
註	tsy5	
蛀	tsy5	
鑄	tsy5	
拄	tsy6	
□	tsʰy3	拿棍子戳、刺
處	tsʰy5	~所
杵	tsʰy5	
處	tsʰy5	~所
魚	ȵy2	
漁	ȵy2	
汝	ȵy4	
語	ȵy4	
書	sy1	
舒	sy1	
輸	sy1	
除	sy2	
薯	sy2	
廚	sy2	
殊	sy2	
暑	sy3	
鼠	sy3	
署	sy3	
數	sy3	动词
柱	sy4	
豎	sy4	
庶	sy5	
恕	sy5	
數	sy5	名词
住	sy6	
樹	sy6	
居	ky1	
車	ky1	~马炮
渠	ky2	
他	ky3	
舉	ky3	
矩	ky3	
榘	ky3	
巨	ky4	
鉅	ky4	
拒	ky4	
距	ky4	
據	ky4	
据	ky4	
鋸	ky5	
句	ky5	
倶	ky6	
具	ky6	
懼	ky6	
樞	kʰy1	
拘	kʰy1	
駒	kʰy1	
區	kʰy1	
驅	kʰy1	
墟	hy1	
虛	hy1	
噓	hy1	
籲	hy1	
吁	hy1	
許	hy3	
去	hy5	
於	∅y1	
淤	∅y1	
迂	∅y1	
於	∅y1	
于	∅y1	
盂	∅y1	
如	∅y2	
餘	∅y2	
余	∅y2	
餘	∅y2	
楡	∅y2	
逾	∅y2	
愉	∅y2	
愚	∅y2	
□	∅y3	灯光昏暗，光源不足
與	∅y4	
与	∅y4	
儒	∅y4	
雨	∅y4	
宇	∅y4	
禹	∅y4	
羽	∅y4	
馭	∅y6	
御	∅y6	
禦	∅y6	
譽	∅y6	
預	∅y6	
豫	∅y6	
虞	∅y6	
娛	∅y6	
愈	∅y6	
癒	∅y6	
遇	∅y6	
寓	∅y6	
喩	∅y6	
裕	∅y6	
爬	pa2	
琶	pa2	
杷	pa2	
鈀	pa2	
(	pa2	
杷	pa2	
)	pa2	
耙	pa2	
趴	pʰa1	
怕	pʰa5	
巴	ɓa1	
芭	ɓa1	
疤	ɓa1	
爸	ɓa1	
把	ɓa3	柄
把	ɓa3	柄
霸	ɓa5	
壩	ɓa5	
罷	ɓa5	
孖	ma1	
麻	ma2	
痲	ma2	
馬	ma4	
碼	ma4	
駡	ma6	
卅	fa1	
□	fa2	酒精在皮肤表面挥发或含薄荷成分的东西在嘴巴融化的清凉感觉
□	ta1	路面泥泞或米饭放多了水的状态
他	tʰa1	
□	ɗa1	姥姥
打	ɗa3	
□	ɗa5	表示方位介词“从”
□	na1	伤口完全好了之后留下的伤疤
拿	na2	
乸	na3	
哪	na4	~个
那	na6	
□	la1	用整个手掌心将一堆东西打散的动作
□	la3	在黑暗中摸东西
罅	la5	缝
査	tsa1	山~
渣	tsa1	
抓	tsa1	
□	tsa3	腌菜
詐	tsa5	
榨	tsa5	
□	tsa6	用荆棘拦住或盖住
叉	tsʰa1	
杈	tsʰa1	
差	tsʰa1	~别,~不多
岔	tsʰa5	
