#漢字	音標	解釋
肥	fɛi2	
匪	fɛi3	
翡	fɛi4	翡翠。
吠	fɐi5	
肺	fɐi5	
費	fɐi5	費用。
分	fɐn1	分開。
芬	fɐn1	
紛	fɐn1	
焚	fɐn2	
粉	fɐn3	
忿	fɐn4	
墳	fɐn2	
憤	fɐn4	
奮	fɐn4	
糞	fɐn5	
封	fuŋ1	
風	fuŋ1	
峯	fuŋ1	
楓	fuŋ1	
鋒	fuŋ1	
豐	fuŋ1	
逢	fuŋ2	
縫	fuŋ2	縫衣服。
諷	fuŋ5	
奉	fuŋ6	
俸	fuŋ6	
鳳	fuŋ6	
佛	fɐt8	
夫	fu1	
跗	fu1	腳面。
孵	fu1	孵小雞。
麩	fu1	麥麩子。
敷	fu1	
膚	fu1	
伏	fuk8	
扶	fu2	
芙	fu2	芙蓉。
服	fuk8	
俘	fu1	俘虜。
栿	fuk8	梁。
浮	fu2	
符	fu2	
幅	fuk7a	
福	fuk7a	
蝠	fuk7a	蝙蝠。
甫	pʰɔu3	
斧	fu3	
府	fu3	
俯	fu3	
釜	fu3	
輔	fu6	
腐	fu6	
撫	fu3	
父	fu6	
付	fu6	
附	fu6	
阜	fɐu6	
赴	fu5	
負	fu6	
訃	fu5	
婦	fu4	
傅	fu3	
復	fuk8	復興。
富	fu5	
腹	fuk7a	
賦	fu5	
尬	kai5	尷尬。
該	kɔi1	
改	kɔi3	
丐	kʰɔi5	乞丐。
蓋	kʰɔi5	
概	kʰɔi5	
甘	kɔm1	
肝	kɔn1	
泔	kɔm1	泔水。
柑	kɔm1	
竿	kɔn1	竹竿。
尷	kam1	尷尬。
稈	kɔn3	稻稈。
感	kɔm3	
橄	kɔm3	橄欖。
幹	kɔn5	
岡	kɔŋ1	
缸	kɔŋ1	
剛	kɔŋ1	
崗	kɔŋ1	
綱	kɔŋ1	
港	kɔŋ3	港口。
杠	kɔŋ1	
髙	kɔ1	
羔	kɔ1	
膏	kɔ1	
篙	kɔ1	進船竿。
吿	kɔ5	
戈	kɔ1	
哥	kɔ1	
胳	lɔk7b	胳臂。
割	kɔt7b	
歌	kɔ1	
鴿	kɔp7b	
革	kak7b	
隔	kak7b	
閣	kɔk7b	
葛	kɔt7b	
各	kɔk7b	
個	kɔi5	個人。
給	kʰɐp7a	供給。
根	kɐn1	
跟	kɐn1	
庚	kɐŋ1	
耕	kaŋ1	
耕	kɐŋ1	
羹	kɐŋ1	
耿	kɐŋ3	
哽	kʰɐŋ3	骨哽在喉。
梗	kʰuaŋ3	莖。
更	kaŋ1	五更。<br />更換
更	kɐŋ1	五更。<br />更換
工	kuŋ1	
弓	kuŋ1	
公	kuŋ1	
功	kuŋ1	
攻	kuŋ1	攻擊。
恭	kuŋ1	
躬	kuŋ1	
宮	kuŋ1	
汞	huŋ5	
拱	kuŋ3	拱手。
鞏	kuŋ3	鞏固。
共	kuŋ6	
供	kuŋ1	供養。
貢	kuŋ5	
鉤	ʔɐu1	
溝	kʰɐu1	
苟	kɐu3	
狗	kɐu3	
構	kɐu5	
購	kɐu5	
估	ku3	估計。
孤	ku1	
姑	ku1	
箍	kʰu1	
古	ku3	
股	ku3	
骨	kuɐt7a	筋骨、骨頭。
牯	ku3	
鼓	ku3	
穀	kuk7a	
固	ku5	
故	ku5	
錮	ku5	錮露鍋。
顧	ku5	
瓜	kua1	
刮	kuat7b	
刮	kuɛt7b	
剮	kua3	
寡	kua3	
卦	kua5	
掛	kua5	
乖	kuai1	
怪	kuai5	
官	kun1	
棺	kun1	
關	kuan1	
關	kuɛn1	
鰥	kuan1	鰥寡。
觀	kun1	參觀。
管	kun3	
館	kun3	
冠	kun1	衣冠。
慣	kuan5	
慣	kuɛn5	
灌	kun5	
罐	kun5	
光	kuɔŋ1	
廣	kuɔŋ3	
圭	kuɐi1	
規	kʰuɐi1	
閨	kuɐi1	
龜	kuɐi1	
歸	kuɐi1	
軌	kuɐi3	
鬼	kuɐi3	
癸	kʰuɐi3	
詭	kuɐi3	
桂	kuɐi5	
貴	kuɐi5	
劊	kʰui5	
櫃	kuɐi6	
鱖	kuɐi5	
棍	kuɐn5	
郭	kuɔk7b	
聒	kʰut7b	聒耳朵。
鍋	wɔ1	
國	kuɔk7b	
虢	kuik7a	虞虢。
果	kɔ3	
裹	kɔ3	
過	kɔ5	
蛤	kɔp7b	蛤蜊。
孩	hai2	
還	wan2	還原、還有讀音亦同。
海	hɔi3	
亥	hɔi6	
害	hɔi6	
駭	hai4	驚駭。
酣	hɔm2	
鼾	hɔn2	睡時鼾聲。
含	hɔm2	
函	ham2	
寒	hɔn2	
韓	hɔn2	
罕	hɔn3	
汗	hɔn6	
旱	hɔn4	
漢	hɔn5	
撼	hɐm6	
憾	hɐm6	
行	hɔŋ2	行列。
杭	hɔŋ2	
航	hɔŋ2	
蒿	hɔu1	蓬蒿。
薅	hɔ1	除田草。
毫	hɔ2	
豪	hɔ2	
壕	hɔ2	
好	hɔu3	好壞。
郝	kʰɔk7b	姓。
浩	hɔ6	
號	hɔ6	呼號。
禾	wɔ2	
合	hɔp8	
和	wɔ2	和麵。
河	hɔ2	
荷	hɔ2	荷花。
核	wɐt8	果子核。<br />審核
核	hɐt8	果子核。<br />審核
盒	hɔp8	烟盒。
賀	hɔ6	
赫	hak7b	
鶴	hɔk8	
黑	hak7a	
痕	hɐn2	
很	hɐn3	
恨	hɐn6	
亨	hɐŋ1	
恆	hɐŋ2	
橫	waŋ2	橫直。
衡	hɐŋ2	
轟	kuɐŋ1	
弘	hwɐŋ2	
宏	wɐŋ2	
虹	huŋ2	
洪	huŋ2	
紅	huŋ2	
鴻	huŋ2	
閧	huŋ5	
侯	hɐu2	
喉	hɐu2	
猴	hɐu2	
瘊	hɐu2	瘊子。
吼	hɐu5	
厚	hɐu4	
後	hɐu6	
候	hɐu6	
乎	fu2	
呼	fu1	
忽	wɐt7a	
狐	fu2	
胡	fu2	《廣韻》「胡」同「鬍」，胡、鬍讀音亦同。
斛	huk8	
壺	fu2	
湖	fu2	
虎	fu3	
許	hyu3	
滸	fu3	水滸。
互	fu6	
戶	fu6	
滬	fu6	
護	fu6	
花	wa1	
華	wa1	
猾	wat8	狡猾。
滑	wat8	
滑	wɛt8	
鏵	wa2	
化	fa5	
畫	wa6	名詞<br />動詞。
畫	wak8	名詞<br />動詞。
話	wa6	
劃	wak8	
淮	wai2	
槐	wai2	
懷	wai2	
壞	wai6	
歡	fun1	
桓	pʰun2	
圜	hyun2	
環	wan2	
環	wɛn2	
緩	fun6	
幻	wan6	
宦	wan6	
患	wan6	
換	fun6	
喚	fun6	
煥	fun6	
荒	fɔŋ1	
皇	wɔŋ2	
黃	wɔŋ2	
蝗	wɔŋ2	
簧	wɔŋ2	鎖簧。
晃	fɔŋ4	晃眼。
灰	fui1	
恢	fui1	
揮	wɐi1	
輝	wɐi1	
麾	fɐi1	
徽	wɐi1	
回	fui2	
茴	fui2	茴香。
悔	fui3	
毀	wɐi3	
晦	fui5	
惠	wɐi6	
賄	fui3	
會	fui6	會計。
彙	fui6	
慧	wɐi6	
諱	wɐi4	
檜	kʰui5	喬木名、秦檜。
穢	wɐi5	
繪	kʰui5	
昏	wɐn1	
婚	wɐn1	
葷	wɐn2	
混	wɐn6	相混。
渾	wɐn6	渾濁。
魂	wɐn2	
餛	kʰuɐn1	餛飩。
豁	kʰut7b	豁然。
火	fɔ3	
或	wak8	
貨	fɔ5	
惑	wak8	
禍	fɔ4	
霍	fɔk7b	
獲	wɔk8	
藿	fɔk7b	藿香。
鑊	wɔk8	鍋。
肌	ki1	
飢	ki1	飢餓。
屐	kʰɛk8	木屐。
基	ki1	
稽	kʰɐi1	
緝	ʦʰɐp7a	緝鞋口。
機	ki1	
激	kik7a	
擊	kik7a	
雞	kɐi1	
譏	ki1	
饑	ki1	饑荒。
鷄	kɐi1	
及	kɐp8	
吉	kɐt7a	
即	ʦik7a	
急	kɐp7a	
級	kʰɐp7a	
疾	ʦɐt8	
極	kik8	
集	ʦap8	
輯	ʦʰɐp7a	編輯。
藉	ʦɛ5	藉故。
籍	ʦik8	
己	ki3	
脊	ʦɛk7b	
戟	kɛt7a	
幾	ki1	幾乎。
技	ki6	
