#漢字	音標	解釋
瓠	pʰiau9	瓠卢，同葫芦
鬍	fu9	～须
蝴	fu9	～蝶
糊	fu9	浆～，～涂
戶	fu3	～口
滬	lu9	上海简称
互	fu9	～相
護	fu5	保～，～士
瓠	pʰiau9	瓠瓜（味似葫芦而长）
烏	vu1	黑
污	vu1	～染
塢	vu1	船～
惡	ʔɔk7	可～
女	ȵi3	女人
廬	lu9	～山
呂	li1	姓
旅	li1	～游
慮	li3	考～
濾	li3	过～
蛆	tsu1	蛆虫，生～
絮	kə3	棉～
徐	tsʰi9	姓
序	ɬi3	顺～
敍	ɬi3	倒～
緖	si3	情～；光～
豬	tsi1	～肉
著	tsi5	～名，显～
除	tsʰi9	～法
儲	tsʰi9	～蓄
苧	neŋ9	～麻
箸	tsʰi3	筷子
阻	tsɔ3	～止，～力
初	tsʰɔ1	当～，～中
楚	tsʰɔ3	清～
礎	tsʰɔ3	基～
鋤	tsʰɐm5	訓讀：～草，～禾日当午
助	tsʰu3	帮～
梳	ɬɔ1	梳子[名]；梳头[动]
疏	ɬɔ1	～远；稀疏
疏	ɬɔ1	生～
蔬	ɬɔ1	～菜
所	ɬɔ3	～以；派出～
疏	ɬɔ1	注～
諸	tsi1	姓；～如此类
煮	tsi3	～饭
處	tsʰi5	～理
處	tsʰi5	～所
書	si1	读～
舒	ɬi1	～服
暑	si3	～假
鼠	si3	老～
庶	si5	～民
恕	ɬi3	宽～
署	tsi5	～名
薯	si9	番～
如	ji9	～果，假～
居	ki1	～民
車	ki1	象棋，～马炮
舉	ki3	～报，～重
據	ki5	收～
鋸	ki5	电～
墟	hi1	～日
去	kʰi5	来～，过～
渠	ki5	水～，～道
佢	ki9	他，第三人称
巨	ki5	～大
拒	ki5	～绝
距	ki5	～离
魚	ȵi9	金～
漁	ȵi9	～业，～夫
語	ȵi1	～文
虛	hi1	～心
噓	hi1	吹～
許	hi3	允～；姓
於	ji9	在～
淤	ji9	～泥
余	ji9	姓
餘	ji9	多～
與	ji5	参～，给～，～众不同
予	ji3	给～
譽	ji3	荣～
預	ji3	～报，～备
豫	ji9	犹～
夫	fu1	～妻，车～
膚	fu1	皮～
跗	fu5	脚背，～骨
府	fu3	政～
腑	fu3	五脏六～
俯	fu3	～卧撑，～视
甫	pʰu3	杜～
脯	pʰu3	菜～（萝卜干）
斧	pu3	～头
付	fu5	应～
咐	fu5	吩～
賦	fu5	天～
傅	fu3	师～[文]
傅	fu3	姓[白]
敷	pʰu1	～衍，～药
俘	fu1	～虏
孵	pʰu3	孵小鸡
麩	kʰu1	麦～
撫	mu9	～养，安～
赴	fu5	奔～，～汤蹈火
符	fu9	～合，鬼画～
扶	fu9	～贫，～手[文]
扶	pʰu9	搀扶，～起来[白]
芙	fu9	～蓉
父	fu3	～亲
釜	fu3	破～沉舟
腐	fu3	～败
腐	fu3	豆～
輔	fu5	～导，～助
附	fu5	～近，～带
無	mu2	没有，～中生有[文]
無	mu9	没有，～事[白]
巫	mu1	姓；～婆
誣	mu1	～陷，～告
武	vu3	～器，～术
舞	mu3	跳～
舞	mu3	拨弄，摆弄[白，动]
侮	mu3	～辱
鵡	vu3	鹦～
務	mu5	任～，～农
霧	mu5	大～
縷	lai3	千丝万～
屢	lɐi1	～次，～教不改
趨	tsʰi1	～势
取	tsʰi3	～钱
娶	tsʰi3	嫁～
趣	tsʰi5	兴～
聚	tsi5	～会
須	ɬi1	必～
鬚	ɬu1	胡～
需	ɬi1	～要
續	tsʰʊk8a	连～，继～
誅	tsi1	天～地灭
蛛	tsi1	蜘～
株	tsi1	守～待兔
駐	tsi5	～扎
註	tsi5	～释
廚	tsʰi2	～房
櫥	tsʰi9	碗～
柱	tsʰi1	柱子
住	tsʰi3	～宿
雛	tsʰi1	～形
數	ɬu5	～落，～星星[动]
數	ɬu5	～字，～学
朱	tsi1	姓
珠	tsi1	珍～
主	tsi3	～人，地～
注	tsi5	～意
蛀	tsi5	～虫
鑄	tsi5	～铁，～钢
樞	kʰi1	中～，～纽
輸	si1	～赢
戍	si5	～边
輸	si1	运～
殊	si9	特～
豎	si3	横～
樹	si3	～立，种～
儒	ji2	～家思想
乳	ȵui5	哺～，母～[文]
乳	neŋ5	食～（吃奶），麦～精[训]
拘	kʰɐi5	～留
倶	kʰi3	～备，～乐部
矩	ki5	规～，～形
句	ki5	～号
區	kʰi1	地～，～别
驅	kʰi1	先～，～动
具	kʰi3	～体
懼	kʰi3	恐～
愚	ji9	～蠢，～公移山
虞	ʔŋ̍9	姓，～姬
娛	ji9	～乐
遇	ȵi5	遭～，相～，～到
寓	ȵi5	～言；公～
迂	ji9	～回，～腐
于	ji9	姓；等～
吁	ji9	气喘～～，长～短叹
雨	ji3	落～，谷～，～水
宇	ji3	～宙
禹	ji3	大～治水
羽	ji3	～毛球
芋	vu5	芋头
愉	ji9	～快
愈	ji3	病～
喩	ji3	比～
裕	ji5	富～
獃	ŋɔi9	书～子，发～[文]
獃	ŋɔi9	发～[白]
戴	tai5	姓；～帽
胎	tʰɔi1	双胞～，～盘
台	tʰɔi9	天台
態	tʰai5	～度，心～
貸	tʰai5	～款
臺	tʰɔi2	～湾
苔	tʰɔi1	青～，舌～
抬	tʰɔi9	两个人抬
待	tʰɔi3	等～，～人接物
怠	tʰɔi1	～慢，～工
殆	ji2	百战不～
代	tʰɔi3	～替，～表
逮	tʰi5	～捕
袋	tʰɔi3	袋子
乃	nai1	安～近；人名用字
耐	nai3	～力，～心，忍～
來	lɔi2	过～，～去
災	tsai1	水～
栽	tsɔi1	种，～培
宰	tsai3	～相
載	tsai5	一年半～
再	tsai5	～来
載	tsai5	～重
猜	tsʰai1	～谜
彩	tsʰɔi3	～色
採	tsʰɔi3	～集
睬	tsʰɔi3	理睬
菜	tsʰɔi5	煮～，青～
才	tsʰɔi2	人～，～气，秀～
材	tsʰɔi2	材，药～，～料
財	tsʰɔi2	财，发～
裁	tsʰɔi2	裁，～纸，剪～
纔	tsʰɔi2	刚～
在	tsʰai3	实～，现～[文]
在	tsʰɔi1	存在，还～[白]
載	tsai5	满～而归
腮	ɬɔi1	～腺炎，～红
鰓	ɬɔi1	鱼鳃
賽	ɬai5	比～
該	kɔi1	应～
改	kɔi3	修～，～正
概	kʰai5	大～，～括
溉	kʰai5	灌～
開	hɔ1	公～，～门
凱	kʰai3	～旋
慨	kʰai5	慷～，感～
咳	kʰiam3	～嗽，止～糖浆
呆	ŋɔi2	～板
礙	ŋɔi3	妨～
海	hɔi3	大～
孩	hai9	～童
亥	hɔ3	辛～革命
哀	ʔɔi1	悲～
埃	ʔai1	尘～，～及
愛	ʔɔi5	～情；要
貝	pɐi5	宝～
貝	pɐi5	川～，～壳
沛	tʰɐi5	充～
帶	tai5	鞋～
太	tʰai5	老～婆
泰	tʰai5	～山
大	tʰai3	大小
奈	nai3	无～，～何
賴	lai3	依～，无～；姓
癩	lan1	～蛤蟆[文]
癩	lai5	～哥（癞疮）[白]
蔡	tsʰɔi5	姓
蓋	kɔi5	～被[动]；盖子[名]
丐	kʰɔi5	～帮
艾	ŋai5	姓；～滋病
□	ȵi5	艾草
害	hɔ3	～人
藹	ʔɔi3	和～，宋～龄
拜	pai5	结～，礼～，～佛
排	pʰai2	～队
埋	mai9	～伏
齋	tsai1	食～（吃斋）
豺	tsʰɔi9	～狼
皆	kai1	～大欢喜
階	kai1	台～，～级
介	kai5	～绍，中～
界	kai5	世～
芥	kɛ5	～菜
尬	kai5	尴～
疥	kai5	～疮
屆	kai5	第一～
戒	kai5	～烟，猪八～
楷	kai1	～书，～模
諧	ʔɔi3	和～
駭	hɔi3	惊～，～人听闻
械	hai3	机～
挨	ʔai1	～打，～近
擺	pai3	摇～
牌	pʰai9	～坊，～匾[文]
牌	pʰai2	打～
㵺	pʰai9	竹排
罷	pʰai3	～工
稗	pʰai3	～草
買	mai1	～卖
賣	mai3	买～
奶	nai5	二～，～牛
債	tsai5	欠～
釵	tsʰa1	宝～
差	tsʰai1	出～
柴	tsʰai9	姓；火～
篩	tsʰɛ1	～选，～米
灑	ɬa3	潇～，～水
佳	kai1	～人，～节
街	kai1	～路
解	kai3	～释，讲～[文]
解	kɛ3	～开[白]
懈	hai3	松～，坚持不～
涯	ŋai9	天～
崖	ŋai9	悬～
捱	ŋai9	难～，～苦
鞋	hai9	布～
解	kai3	懂了，理～，了～
蟹	hai3	老～
矮	ʔɛ3	高矮
敗	pʰai3	失～
邁	mai5	豪～，～步
寨	tsʰai3	山～，大～
蔽	pi5	隐～
弊	pʰi3	作～
幣	pʰi3	人民～
斃	pi3	枪～
例	lɛ3	举～，～外
