#漢字	音標	解釋
鮑	p1	
飽	p3	
爆	p5	
拋	pʰ1	
拋	pʰ1	
刨	pʰ2	
跑	pʰ3	
剖	pʰ3	
豹	pʰ5	
泡	pʰ5	
～	pʰ5	
茶	pʰ5	
泡	pʰ5	
水	pʰ5	
～	pʰ5	
炮	pʰ5	
矛	m2	
茅	m2	
描	m2	
謀	m2	
卯	m4	
某	m4	
畝	m4	
貌	m5	
籵	m5	
戊	m5	
茂	m5	
貿	m5	
謬	m5	
貓	m8	文
浮	f2	文
否	f3	
兜	t1	
鬥	t3	
斗	t3	
十	t3	
升	t3	
昇	t3	
爲	t3	
一	t3	
～	t3	
抖	t3	
糾	t3	
～	t3	
纏	t3	
糾	t3	
～	t3	
正	t3	
鬥	t5	
斗	t5	
～	t5	
爭	t5	
豆	t5	
逗	t5	
痘	t9	
偸	th1	
頭	th2	
投	th2	
㪗	th3	
透	th5	
紐	n3	
扭	n3	
鬧	n5	
撈	l2	
～	l2	
魚	l2	
餚	l2	
肴	l2	
淆	l2	
樓	l2	
簍	l2	
流	l2	
硫	l2	
琉	l2	
