#漢字	音標	解釋
劇	kʰiɛt8a	~烈，京~[文];快[白];～烈，京～[文]
劈	pʰiɛt8a	~开，用刀~，雷~;～开，用刀～，雷～
劉	liu2	姓
劊	ky5	~子手;～子手
劍	kiam5	宝~;宝～
劑	tsɛ1a	一~药，药~
劑	ʦɛ1a	一～药，药～
力	lɐt8a	大~，~量;大～，～量
功	koŋ1a	~夫，成~;～夫，成～
加	ka1a	~工;～工
劣	liɛt8a	~质，恶~;～质，恶～
助	tsʰɔ3	帮~
助	ʦʰɔ3	帮～
努	nu3	~力;～力
劫	kiɛp8a	抢~;抢～
勁	kɐn5	有~，~敌;有～，～敌
勃	pʰæk8b	勃，蓬~，生机~~;勃，蓬～，生机～～
勇	ȵoŋ3	~敢;～敢
勉	mian1a	~强，~励;～强，～励
勒	lɐt8a	~索;～索
動	tʰoŋ3	~作[文];~来~去[白];～作[文];～来～去[白]
勘	hɐm5	~误，~探;～误，～探
務	mu5	任~，~农;任～，～农
勝	sɐn5	~任;~利，战~;～任;～利，战～
勞	lɔ2	~动;～动
募	mu5	~捐;～捐
勢	sɛ5	~力，有权有~;～力，有权有～
勤	kʰɐn2	~劳;～劳
勳	fɐn1b	~章;～章
勵	li3	鼓~;鼓～
勸	hian5	规~;规～
勺	sɔk8a	饭~;饭～
勻	jun2	均~;均～
勾	ŋɐi1a	~心斗角，~引;～心斗角，～引
勾	ŋɐi1b	~当;～当
勿	mɐt8a	非礼~视;非礼～视
包	pau1a	钱~，~围;钱～，～围
化	fa5	变~;变～
北	pɐt8a	东南西北
匙	si2	锁~，汤~;锁～，汤～
匠	tsʰiœŋ3	木~
匠	ʦʰiœŋ3	木～
匡	vɔn1a	~扶正义;赵~胤(人名);～扶正义；赵～胤（人名）
匣	kæp8a	匣子
匪	fɐi3	土~;土～
匯	fɐi3	~报，~款;～报，～款
匹	pʰɐt7	~配;～配
匾	pian3	牌~;牌～
區	kʰy1a	地~，~别;地～，～别
區	ʔɐi1a	姓
十	sɐp8a	数字
千	tsʰian1a	~万
千	ʦʰian1a	～万
升	sɐn1a	~级;～级
午	ʔŋ̍3	中~，端~;中～，端～
半	pan5	一~，~日;一～，～日
卑	pi1a	自~，~鄙;自～，～鄙
卒	tsuk7	兵~，小~
卒	ʦuk7	兵～，小～
卓	tsʰɔk8a	~越;姓，~别林
卓	ʦʰɔk8a	～越；姓，～别林
協	hiɛp8a	~会，~作;～会，～作
南	nam2	东南西北
博	pɔk8a	~士，广~;～士，广～
卜	kua5	占~;姓
卜	pʰæk8b	萝~
占	tsam1a	~卜
占	ʦam1a	～卜
卦	kua5	八~;八～;占～；姓
卯	mau1a	地支，子丑寅卯
印	jɐn5	手~;手～
危	ŋɛ2	~险，安~;～险，安～
卵	luɔn3	鸡~(鸡蛋)，~生;鸡～（鸡蛋），～生
卷	kuan3	试~[名];试～[名]
卸	ɬɛ5	~货，推~;～货，推～
卻	kʰiœt8a	退~，~步;退～，～步
卽	tsɐt7	~时，立~
卽	ʦɐt7	～时，立～
卿	hiɐn1a	~家;人名用字;～家；人名用字
厚	hɐi5	忠~;忠～
原	ȵan2	~来，平~;～来，平～
厭	jam5	讨~;讨～
厲	li3	严~，~害;严～，～害
去	si5	来~，过~;来～，过～
參	tsʰam1a	~差不齐;人~
參	tʰam1a	~军，~加;～军，～加
參	ʦʰam1a	～差不齐;人～
又	jiu3	~来;～来
叉	tsʰa1b	刀~，~腰
叉	ʦʰa1b	刀～，～腰
及	kʰɐp8a	~时;～时
友	jiu5	朋~，~谊;朋～，～谊
反	fan3	~对，造~;～对，造～
叔	sok7	二~，~~;二～，～～
取	tsʰui3	~钱
取	ʦʰui3	～钱
受	siu3	接~;接～
叛	pan5	~徒，背~;～徒，背～
叢	tsʰoŋ2	草~，~书
叢	ʦʰoŋ2	草～，～书
口	hɐi3	~头，开~;一~饭;～头，开～;一～饭
古	ku3	~代;～代
句	ky5	~号;～号
另	lɐn3	~外;～外
叨	sɔ1a	唠~
叩	kʰɐi5	~头;～头
只	tsɐt7	~有
只	ʦɐt7	～有
叫	kiau5	大~;小孩哭;大～；小孩哭
召	tsʰau3	号~，~集
召	ʦʰau3	号～，～集
可	hɔ3	~能，许~证;～能，许～证
台	tʰɔi2	天台
史	si3	历~;历～
右	jiu5	左~;左～
司	ɬia1a	公~，~令;公～，～令
各	kɔk8a	~人;～人
合	hæk8a	~作，~适[文];～作，～适[文]
合	kæp8a	~本，~伙[白];～本，～伙[白]
吉	kɐt8a	~利;～利
吊	tiau5	上~，~车;上～，～车
同	tʰoŋ2	相~，~学;相～，～学
名	mian2	姓~;姓～
后	hɐi3	皇~;皇～
吏	sia3	官~;官～
吐	tʰɔ5	~痰;呕~;～痰；呕～
向	sɔŋ5	~东;～东
君	kuɐn1a	~子;～子
吝	mɐn2	吝啬
吞	tʰun1a	~口水;～口水
吟	ȵɐm2	~诗;～诗
吠	hian3	狗~;狗～
否	fɐi3	是~，~定;是～，～定
吧	pa1b	酒~;酒～
含	hɐm2	包~[文];~糖[白];包～[文];～糖[白]
吳	ʔŋ̍2	姓
吵	tsʰau3	~人，争~
吵	ʦʰau3	～人，争～
吸	kʰɐp8a	呼~，~引;呼～，～引
吹	tsʰui1a	~牛皮，~喇叭
吹	ʦʰui1a	～牛皮，～喇叭
吻	mɐn3	接~;接～
吿	kɔ5	报~，~状;报～，～状
呂	ly1a	姓
呃	ŋɐt7	欺骗
呆	ŋɔi2	~板;～板
呈	tsʰɐn2	~现，辞~
呈	ʦʰɐn2	～现，辞～
周	tsiu1a	姓;~围，~年
周	ʦiu1a	姓；～围，～年
味	mei3	~道，~精;～道，～精
呼	fu1a	称~，~吸，招~;称～，～吸，招～
命	mian3	~令[文];~运，算~[白];～令[文];～运，算～[白]
和	fɔ2	~平[文];唱~，~诗;～平[文];唱～，～诗
和	vɔ2	~尚[白];~气[文];～尚[白];～气[文]
咐	fu5	吩~;吩～
咒	tsiu5	~人
咒	ʦiu5	～人
咨	tsi1a	~询
咨	ʦi1a	～询
咪	mɐi1b	麦克风
咬	ŋau1a	~人;～人
咳	kʰam3	~嗽，止~糖浆;～嗽，止～糖浆
咸	hɐm2	~丰皇帝;～丰皇帝
哀	ʔɔi1a	悲~;悲～
品	pʰien3	~德;～德
哄	hoŋ5	~骗;～骗
員	jan2	人~，~工;人～，～工
哥	kɔ1b	大~，学生~;大～，学生～
哨	ɬau5	口~;口～
哪	na2	~吒;～吒
哪	nai3	~里;～里
哭	kiau5	~泣;～泣
哮	hau1a	~喘;～喘
哲	tsiɛt8a	~学
哲	ʦiɛt8a	～学
哽	kʰɐn3	哽住，骨头~到;哽住，骨头～到
唆	sɔ1a	~使;～使
唐	tʰɔn2	~朝;姓;～朝；姓
唔	mɔ2	不
售	siu2	~货，出~;～货，出～
唯	vɐi2	~物主义;～物主义
唱	tsʰɔŋ5	~歌
