#漢字	音標	解釋
蔽	pi5	隐～
弊	pʰi3	作～
幣	pʰi3	人民～
斃	pi3	枪～
例	lɛ1a	举～，～外
厲	li3	严～，～害
勵	li3	鼓～
祭	ʦɛ5	～祀
際	ʦɛ5	国～
滯	ʦʰɛ3	停～，湿～（中医）
制	ʦɛ5	～度
製	ʦɛ5	～造
世	sɛ5	～界
世	sɛ5	出～
勢	sɛ5	～力，有权有～
誓	ʦɛ5	发～
逝	sɛ3	～世
藝	ŋɛ3	～术，文～晚会
蓖	pi1a	～麻
閉	pi5	关～
篾	miɛt1a	蒸笼中的竹屉
批	pʰɛ1a	～评，大～
批	pʰɛ1a	螺丝～
陛	pi5	～下
迷	mi2	入～，～路
米	mi3	大米
謎	pi2	～语，猜～
低	tʰɛ1a	高～
堤	tʰi2	河～，～坝
底	tɛ3	水～
抵	tɛ3	～押
抵	tɛ3	用手抵挡
帝	ti5	皇～
梯	tʰɔi1a	楼～
蒂	ti5	花～，并～莲
體	tʰi3	～育，身～
替	tʰɛ5	代～，～身
涕	tʰɛ5	～泪纵横
剃	tʰɛ5	～头
拖	tʰɔ1b	抽屜
題	tʰi2	～目，难～
提	tʰi2	～问，～醒
蹄	tʰi2	马～
啼	tʰi2	哭哭～～[文]
啼	tʰɛ2	鸡～[白]
弟	tʰi3	兄～[文]
弟	tʰi3	弟弟，老～[白]
第	tʰi3	～一，门～
遞	tʰi3	传～，邮～员
泥	nɛ2	水～，地～（地板）
犁	lɛ2	耕田用具
黎	lɛ2	～民，～明；姓
禮	li1a	～貌
麗	lɛ3	秀～
隸	tʰi3	奴～，～属
擠	ʦɛ1a	拥～，～时间
濟	ʦɛ5	～公，经～
妻	ʦʰi1a	夫～
砌	tʰɛ5	～墙
齊	ʦʰɛ2	～国[文]
齊	tʰɛ2	整～，放～，来～[白]
臍	ʦʰi1b	肚～，～带
劑	ʦɛ1a	一～药，药～
西	ɬi1a	东西南北
棲	ɬi1a	两～动物
犀	ɬi1a	～牛
洗	ɬɛ3	～菜，～衣机
細	ɬɛ5	粗细，大小
婿	ɬɛ5	女～
雞	kɛ1a	～公（公鸡）
稽	kʰɛ1b	～查，滑～
計	kɛ5	～算，会～
繼	kɛ5	～续，～承
繫	kɛ1a	～皮带
髻	kɛ5	发髻；鸡～（鸡冠）
溪	kʰɛ1a	～水
啟	tʰɛ3	～发
契	kʰɛ5	房～，～约
倪	ȵi2	姓，～萍
奚	kʰɛ1a	～落
兮	kʰɔi1a	神经～～
系	hɐi5	中文～，～统
繫	hɐi5	联～
係	hɐi5	关～[文]
係	hɐi5	是[白]
杯	pei1b	茶～
輩	pei5	～分，长～
背	pei5	违～，后～
胚	pʰi1a	～胎
坯	pʰɔi1a	泥～，毛～房
配	pʰei5	分～，搭～
培	pʰɔi2	～训
陪	pʰɔi2	～同
賠	pʰɔi2	～钱
倍	pʰɔi3	～数
佩	pʰei5	～服
背	pɔi5	～书
焙	pʰɔi3	～火
梅	mɔi2	～花
枚	mɔi2	两～
媒	mɔi2	～人
煤	mɔi2	烧～，～矿
玫	mɔi2	～瑰
每	mei1a	～只，～日
莓	mɔi2	草～
妹	mɔi5	妹妹，姊～，老～
昧	mei3	愚～，拾金不～
堆	tɔi1b	一～[量]，～放[动]
對	tui5	～错；成双成～
碓	tɔi5	舂米工具，踏～
推	tʰui1a	～荐，～动
腿	tʰui3	～部，火～
退	tʰui5	后～，～步[文]
退	tʰui5	向后退[白]
隊	tʰui3	～伍，排～
內	nɔi3	～行，～外
雷	lui2	打～，～公；姓
累	lui3	劳～
催	ʦʰui1a	～促，～眠
崔	tʰui1a	姓，～莺莺
摧	ʦʰui1a	～残
罪	tʰui3	得～，犯～[文]
罪	tʰui3	～过（可怜、难受）[白]
碎	ɬui5	～布，破～
盔	kʰui1a	头～，～甲
魁	vai2	～梧，花～
恢	fɔi1a	～复
塊	mɐn1b	一～钱
桅	ŋɐi2	～杆
灰	fɔi1a	石～，～色
賄	fɐi3	受～，～赂
悔	fɐi3	后～
晦	fɐi3	～气
回	fɐi2	～想[文]
回	fɐi2	～礼[白]
茴	fɐi2	～香
匯	fɐi3	～报，～款
潰	kʰui5	～疡，胃～疡
煨	vɔi1a	～番薯
蛻	tʰui5	～变，～皮，～壳
兌	tʰui5	～水，～换
最	ʦui5	～好
會	fei3	～计
劊	ky5	～子手
外	ŋɔi3	～面
會	fei3	开～
會	fei3	～睡，～来
繪	væk8a	～图，测～
乖	kai1a	小孩听话
怪	kai5	奇～
懷	vai2	～疑
槐	fai2	～树
淮	vai2	～河，～北
壞	vai3	～人
拐	kuai3	～卖，铁～李
拐	kuai3	～脚（瘸腿）
掛	kʰa5	～起来，牵～，～钩
卦	kua5	八～
歪	vai1b	～风邪气
畫	væk8a	～图，图～
快	fai5	～车
筷	fai5	公～
話	va3	笑～，讲～[文，名]
話	va3	讲～[白，名]
話	va3	说[白，动]
脆	ʦʰui5	干～[文]
脆	ʦʰui5	易断[白]
歲	ɬɔi5	万～，～月[文]
歲	ɬɔi5	十～，～数[白]
綴	ʦʰui3	点～
贅	ʦʰui3	累～，入～
稅	sɔi5	交～，～收
衛	vei3	～生
銳	jui3	尖～，～角
廢	fei5	～品，作～
肺	fei5	猪～
吠	hian3	狗～
穢	ji2	淫～，污～
圭	kuɐi2	人名用字；乌拉～
閨	kuɐi1a	～房
桂	kuɐi5	～花
奎	kʰuɐi2	人名用字；～宁（药名）
攜	kʰuɐi2	～带，提～
惠	vɐi3	～州，优～
慧	vɐi3	智～
碑	pi1a	石～，～文
