#漢字	音標	解釋
擦	ʦʰæk8a	～车
殘	ʦʰam2	～废
珊	ɬam1a	～瑚
散	ɬan3	药～
散	ɬan5	分～，解～
撒	ɬæk8a	～手，～种
薩	ɬæk8a	菩～
干	kɔn1a	天～地支；～扰
亁	kɔn1a	烘～，饼～
肝	kɔn1a	猪～
竿	kɔn1a	竹～
桿	kɔn5	旗～，杠～
稈	kɔn3	禾～（稻秆）
趕	kɔn3	追～
幹	kɔn5	～部，才～
割	kɔk8a	～禾（割稻）
葛	kɔk8a	诸～亮；生～，～薯
睇	tʰɛ3	看
刊	hɔn3	报～
看	tʰɛ3	看见
渴	hɔk8a	口渴；～望
岸	ʔɔn5	口～，两～
鼾	ʔɔn2	～睡
罕	ʔɔn3	稀～，～见
漢	hɔn5	～人
喝	hɔk8a	吆～，～彩
寒	hɔn2	大～，～流
韓	hɔn2	～国；姓
旱	hɔn3	干旱
汗	hɔn3	出～，～马功劳
銲	hɔn3	电～，～接
翰	hɔn5	～林院；人名用字
安	ʔɔn1a	公～，～全
鞍	ʔɔn1b	马～，～山
按	ʔɔn5	～照
案	ʔɔn5	～件，档～
扮	pan3	打～
八	pæk8a	数字
盼	pʰam5	～望
瓣	pʰan3	花～
辦	pʰan3	～事
拔	pʰæk8b	～河，选～
綻	tʰien3	破～[文]
綻	tʰien3	长出，～笋，～芽[白]
盞	tan3	灯～（灯）
紮	ʦæk8a	～紧，驻～
鏟	ʦʰæk8a	～草
察	ʦʰæk8a	观～
山	ɬan1a	山
產	ʦʰan3	生～
殺	ɬæk8a	～人，自～
艱	kan1a	～苦
間	kan5	房～，中～
簡	kan3	～单
揀	kan1a	挑选
間	kan5	～断，离～[文]
間	kan5	隔开[白]
眼	ŋan3	双～皮
閑	han2	～事，空～
限	han3	期～，～制
莧	han3	～菜
軋	ʔæk8a	～钢厂
班	pan1a	上～
斑	pan1a	～马
頒	pan1a	～布，～奖
扳	pan3	～手，～开
板	pan3	黑～，石～
版	pan3	出～
攀	pʰan1a	～登，高～
蠻	mɐn2	不听话；野～
慢	man3	～车
棧	ʦan3	客～；碗橱，碗～
鍘	ʦʰɔ2	～刀
刪	ɬan1a	～除
疝	ʦan5	～气（小肠气）
奸	kan1a	～诈，～臣
鐧	kan3	杀手～
顏	ŋan2	姓；～色
雁	ŋan5	大～
瞎	mɐn2	～目
轄	hæk8b	管～，直～市
晏	ʔan5	晚、迟；～子使楚
鞭	pian1a	皮～，～策
編	pʰian1a	主～，～辑[文]
編	pʰian1a	毛～，～毛编[白]
變	pian5	～化，改～
別	piɛt8a	区～
鼈	pian1a	甲鱼
篇	pʰian1a	一～文章
偏	pian1a	～～，～僻
騙	pʰian5	欺～
便	pʰian2	～宜
辨	pʰian3	分～，～别
辯	pʰian3	～论
汴	pian2	～京（北宋都城）
便	pʰian3	方～
別	piɛt8a	离～，分～
綿	mian2	海～，～羊
棉	mian2	～花
免	mian1a	难～，～除
勉	mian1a	～强，～励
娩	mian3	分～
緬	mian5	～怀；～甸（地名）
面	mian5	～子
滅	miɛt8a	消～，～亡
碾	ŋian1b	～米
連	lian2	～长；大～（地名）
聯	lian2	～系；对～
列	liɛt8a	排～；～宁（人名）
列	liɛt8a	两～（两排）[白，量]
烈	liɛt8a	～士，热～
裂	liɛt8a	～开，分～
煎	ʦian1a	～药，～鱼
剪	ʦian3	～刀
箭	ʦian5	射～
濺	ʦʰian3	～一身水
遷	ʦʰian1a	升～，～怒
淺	ʦʰian3	深～
錢	ʦʰian2	～财
踐	ʦʰian3	实～
賤	ʦʰian3	下～，～人
仙	ɬian1a	神～
鮮	ɬian1a	新～
鮮	ɬian1a	朝～（国名）
癬	ɬian3	发～（生癣）
線	ɬian5	～索
薛	ɬiɛt8a	姓，～宝钗
泄	ɬɛ5	～漏，排～
羨	ɬian3	～慕
展	ʦian3	开～，发～
哲	ʦiɛt8a	～学
徹	ʦʰiɛt8a	～底
撤	ʦʰiɛt8a	～退
纏	ʦʰian2	纠～，～线
轍	ʦʰiɛt8a	南辕北～；苏～（人名）
氈	ʦan1a	羊毛～
戰	ʦan5	～斗
顫	ʦʰan5	～抖
折	ʦiɛt8a	～断，打～
浙	ʦiɛt8a	～江（地名）
舌	sæk8a	舌头
搧	ʦan5	扇扇子，扇耳光[动]
扇	san5	扇子[名]
設	siɛt8a	～计，建～
蟬	sam2	蝉
禪	sam2	～宗，～师
善	sian3	～良，心～
膳	sian3	～食，用～
單	sam2	姓
禪	sam3	～让，封～
折	sæk8a	～本（赔本）
然	jam2	～后，居～
燃	jan2	～烧
熱	jæk8a	冷～，～情
遣	hian3	派～
乾	kʰian2	～坤，～隆
虔	kʰian2	～诚
件	kʰian3	事～
傑	kʰiɛt8a	～出
諺	jan5	农～，～语
孽	miɛt8a	造～
延	jan2	～长，～安
演	jan3	～员，表～
建	kian5	～设
揭	kʰiɛt8a	～发，～露
揭	kʰiɛt8a	～阳（地名）
鍵	kian5	关～，～盘
腱	kian5	肌～
言	ȵan2	语～
軒	hian1a	人名用字
掀	hien1a	～起[文]
掀	ʦan1a	～被[白]
憲	hian5	～法
獻	hian5	贡～
㪗	tɐi3	～夜（过夜）
蠍	kʰiɛt8a	蝎子，蛇～心肠
堰	jan5	坝，都江～
邊	pian1a	～疆，旁～
蝙	pʰian1a	～蝠
扁	pian3	圆扁
匾	pian3	牌～
遍	pʰian5	三～，～地，普～
片	pʰian5	一～，～面
撇	pʰiɛt8a	～捺，～开
蹩	pɐi1b	跛，～脚
眠	mian2	～床（床），安～
麵	mian3	～粉
蔑	miɛt8a	～视
顚	tian1a	～倒，～簸
典	tian3	～型，词～
天	tʰian1a	～才
腆	tian3	腼～
鐵	tʰiɛt8a	～皮
田	tʰian2	种～
塡	tʰian2	～空
電	tʰian3	触～，～灯
殿	tʰian3	宫～
奠	tian3	～基
墊	tʰiam3	～钱，座～
年	ȵan2	过～
撚	nɛ3	以指捻碎
捏	niam1a	以指尖捏取小面积
憐	lien2	可～[文]
憐	lien2	可～[白]
蓮	lian2	～花，睡～
練	lian3	～习，熟～
鍊	lian3	～丹，锻～
链	lian3	项～，～条
楝	lian3	苦～树
箋	ʦian1a	便～，信～
薦	ʦan5	推～
節	ʦiɛt8a	～约，竹～
千	ʦʰian1a	～万
切	ʦiɛt8a	～菜
前	ʦʰian2	从～，～后
截	ʦiɛt8a	～断
先	ɬian1a	祖～，～进，～生
屑	ɬiɛt7	锯～[白，名]
屑	liɛt7	不～一顾[文，动]
楔	ɬiɛt8a	～入去（塞进去）[训]
肩	kian1a	～头
堅	kian1a	～强
繭	kan3	蚕～
見	kian5	～人，～识
結	kiɛt8a	～婚，～疕[文，动]
結	kiɛt8a	打～[白]
潔	kiɛt8a	～白，清～
牽	hian1a	～牛花
硏	ŋian2	～究
硯	han3	～台
顯	sɐp8a	明～
賢	jan2	～惠，圣～
弦	hian2	琴～
現	jan3	～在，出～
煙	jan1a	冒～
燕	jan5	姓；～京，～山（地名）
燕	jan5	燕子，～窝
嚥	jiɐn1a	～喉
宴	jian5	～会
般	pan1a	～配，一～
搬	pan1a	～运
半	pan5	一～，～日
絆	pan5	～脚石，～马索
鉢	pæk8a	花～（花盆），衣～
撥	pʰæk8a	～款
潘	pʰan1a	姓
拚	pʰɐn5	～命
判	pʰan5	～断，审～
潑	pʰæk8a	～水；泼辣
盤	pʰan2	算～
伴	pan5	～随，伙～[文]
伴	pan5	做～，冇～[白]
拌	pan5	凉～，搅～
叛	pan5	～徒，背～
瞞	man2	隐～
饅	man3	～头
鰻	man3	～鱼
滿	man1a	～意
漫	man3	～画，～长
末	mæk8a	～尾
沫	mæk8a	泡～
抹	mæk8a	～桌，～布
端	tuɔn1a	～正
短	tuɔn3	长～
斷	tʰuɔn5	判～，～案
鍛	tuɔn3	～炼
脫	tʰɔk8a	～鞋，摆～
團	tʰɔn2	～结，～长
糰	tʰɔn2	饭～，面～
斷	tʰɔn1a	～绝[文]
斷	tʰɔn1a	线断了[白]
段	tʰɔn3	姓；阶～
緞	tʰɔn3	绸～
□	piɛt3	奪取
暖	nɔn1a	冷～
卵	luɔn3	鸡～（鸡蛋），～生
亂	luɔn3	混～
捋	lɔk8a	捋袖子
捋	lɔk8a	～骨头（啃骨头）
鑽	ʦuɔn5	～孔，～山洞[动]
攢	ʦʰan3	积～
鑽	ʦuɔn5	电～[名]，～石
撮	ʦiɛt7	一～毛
酸	ɬuɔn1a	～甜
算	ɬɔn5	计～
蒜	ɬɔn5	大蒜，蒜头
官	kɔn1a	～司，当～
棺	kɔn1a	～材
觀	kɔn1a	参～，～音
冠	kɔn5	衣～，鸡～花
管	kɔn3	～理，气～
館	kɔn3	图书～
貫	kɔn5	一～，～彻
灌	kɔn5	～溉
罐	kɔn5	～头
觀	kɔn1a	道～
冠	kɔn5	～军
括	kʰɔk8a	包～
寬	fɔn1a	～松
款	fɔn3	汇～，拨～
闊	fæk8a	开～
玩	van3	～具，游～
歡	fɔn1a	喜～，～喜
喚	vɔn3	呼～
煥	vɔn3	～然一新
桓	fan2	齐～公
完	jan2	～全[文]
完	jan2	用～，食～[白]
丸	jan2	肉～，药～
緩	vɔn3	～慢，迟～
皖	jan3	安徽简称，～南事变
換	vɔn3	交～[文]
換	vɔn3	～水[白]
換	vɔn3	金不换[白]
活	væk8a	生～
豌	vɔn3	～豆
碗	vɔn3	饭～
腕	vɔn3	手～
頑	ŋan2	～固，～皮
幻	van3	科～，～想
滑	væk8a	地～，～稽
猾	væk8a	狡～
挖	væk8a	～掘[文]
挖	væk8a	穵[白]
閂	kʰɐn5	～门，门～
拴	ʦʰuɔn2	拴住（捆绑）
刷	sæk7	～牙，牙～
關	kuɔn1a	～门，海～
慣	kuɔn5	习～
刮	kuæk8a	～毛，搜～
還	van2	～原[文]
還	van2	～钱[白]
還	van2	～有[白]
環	van2	～境
患	van3	～病，忧～
宦	van3	～官
彎	van1b	转～
灣	van1a	台～，海～
戀	lian2	～爱
劣	liɛt8a	～质，恶～
全	ʦʰuɔn2	～部，安～
泉	ʦʰan3	～水，喷～
絕	ʦʰiɛt8a	～对
宣	ɬian1a	～布，～传
選	ɬian3	～择，挑～
雪	ɬiɛt8a	落～（下雪），～白
旋	ɬian2	～转
轉	ʦʰɔn5	～学，～移，翻～
轉	ʦʰɔn5	～圈
傳	ʦʰɔn2	～达，流～
傳	ʦʰɔn2	～记，自～
專	ʦʰɔn1a	～门，大～
磚	ʦɔn1a	～头
拙	ʦʰuk8a	勤能补～
川	ʦʰɔn1a	四～
穿	ʦʰɔn1a	～堂风，揭～
喘	ʦʰɔn3	哮～
串	ʦʰɔn5	一～，～通
船	ʦʰɔn2	轮～
說	sɔk8a	小～
軟	ȵɔn1a	～弱
捲	kuan3	～起来[动]
眷	kuan5	～属
卷	kuan3	试～[名]
絹	kuan1a	绢
圈	kʰuan1b	圆～，～套
拳	kʰuan2	～头
權	kʰuan2	～利
倦	kuan3	疲～
圓	jan2	团～
員	jan2	人～，～工
院	jan3	医～，～长
緣	jan2	～分
沿	jan2	边～，～江路
鉛	jan2	～笔，～球
捐	kian1a	～钱
悅	jæk8a	愉～
閱	jæk8a	～读
藩	pʰan1a	曾国～
反	fan3	～对，造～
販	fan5	～毒，小～，～卖
髮	fæk8a	头～
發	fæk8a	～展，～财[文]
發	fæk8a	～虫（长虫）[白]
翻	fan1a	～书[文]
翻	fan1a	翻转；呕吐[白]
番	fan1a	三～两次，～薯
番	fan1a	一～被（一床被子）
番	pʰan1a	～禺（地名）
煩	fan2	麻～
礬	fan2	明～
繁	fan2	～华
飯	fan3	～店[文]
飯	fan3	食～（吃饭）[白]
伐	fæk8a	讨～，～木工人
筏	fæk8a	竹～（竹排）
罰	fæk8a	～款，惩～
晚	man5	～会
挽	man3	～留，手～手
萬	man3	～一
蔓	man3	～延，瓜～
襪	mæk8a	鞋～
□	mɔn1b	蕨类植物
勸	hian5	规～
掘	kuk8a	挖～
元	ȵan2	～旦[文]
元	jan2	一～钱[白]
原	ȵan2	～来，平～
源	jan2	～头，来～
阮	jan3	姓，～玲玉
願	ȵan3	～望
月	jæk8a	三～
喧	ɬian1a	～哗，～闹
冤	jan1a	～枉
怨	jan5	～人，埋～
袁	jan2	姓，～世凯
轅	jan2	轩～
園	jan2	菜～，花～
援	vɔn3	～助，支～
遠	jan3	永～
越	jæk8a	～来～好
曰	ȵiɛt8a	子～
粵	jæk8a	～东
決	kʰiɛt8a	～定
訣	kʰiɛt8a	口～
犬	hian3	狂～病
缺	kʰiɛt8a	～点
血	sæk8a	流～
玄	hian2	～妙
懸	jui2	*～挂，～崖
縣	jan3	～长
眩	hian2	晕眩，～昏
穴	jæk8a	～位
淵	jan1a	深～，～源
吞	tʰun1a	～口水
跟	kɐn1a	～从
根	kɐn1a	～本，树～
懇	hɐn3	～求，诚～
墾	hɐn2	开～
齦	ŋɐn2	牙～肉（牙龈）
痕	hɐn2	～迹
很	hɐn3	～大
恨	hɐn3	仇～
恩	jɐn1a	～人
彬	pɐn1b	文质～～；人名用字
賓	pɐn1a	贵～
檳	pɐn1a	～榔
濱	pɐn1a	哈尔～（地名）
殯	pɐn5	～仪馆，出～
鬢	pɐn5	～角
筆	pɐt8a	毛～，～记
畢	pɐt8a	～业
必	piɛt8a	～须
匹	pʰɐt7	～配
貧	pʰɐn2	扶～
頻	pʰɐn2	～繁
弼	pɐk8a	～马温；任～时
閩	mɐn3	福建简称，～南
民	mɐn2	人～，～族
憫	mɐn5	怜～
敏	mɐn3	灵～
密	mɐt8a	秘～，～封
抿	mɐn1b	小口喝
蜜	mɐt8a	～蜂
鄰	lɐn2	～居
鱗	lɐn2	鱼～
燐	lɐn2	～肥
吝	mɐn2	吝啬
栗	lɐt8a	～子
津	ʦɐn1a	天～（地名）
儘	ʦʰɐn3	～管，～早
進	ʦʰɐn5	～步，前～
晉	ʦʰɐn5	山西简称；魏～南北朝
親	ʦʰɐn1a	～生，父～
親	ʦʰɐn1a	～家
七	ʦʰɐt8a	数字
漆	ʦʰɐt8a	油～
秦	ʦʰɐn2	姓；～国
盡	ʦʰɐn3	～量，～力，～头
疾	ʦʰɐt8a	残～
辛	ɬɐn1a	～苦
新	ɬɐn1a	～旧
新	ɬɐn1a	～妇（儿媳妇）
薪	ɬɐn1a	～水
信	ɬɐn5	相～
訊	ɬɐn5	通～
悉	ɬɐn3	熟～
膝	ɬɐt7	～头（膝盖）
珍	ʦɐn1a	～珠
鎭	ʦɐn5	～长，～压
趁	ʦʰɐn5	～机
陳	ʦʰɐn2	姓；～列，～皮
塵	ʦʰɐn2	灰～，～灰
陣	ʦʰɐn3	～雨
姪	ʦʰɐt8a	～子
秩	tʰiɛt8a	～序
臻	ʦɐn1a	聂荣～
襯	ʦʰɐn5	～衫
蝨	ɬɐt8a	虱子，～嫲
眞	ʦɐn1a	认～，～假
診	ʦʰɐn3	急～
疹	ʦʰɐn3	麻～
振	ʦɐn5	～动
震	ʦɐn5	地～
質	ʦɐt8a	～量，品～
神	sɐn2	～仙，精～
實	sɐt8a	老～，～在
身	sɐn1a	～体，上～
申	sɐn1a	～请；地支，申酉戌亥
伸	sɐn1a	～展，延～[文]
伸	ʦɐn1a	～手[白]
娠	sɐn2	妊～反应
失	ʦɐn3	～去，丧～
室	sɐn3	教～，～内
辰	sɐn2	时～
晨	sɐn2	朝～
臣	sɐn2	大～
腎	sɐn3	～病
腎	sɐn3	鸡～（鸡肫）[白]
愼	sɐn3	谨～，～重
人	ȵɐn2	老～，～民
仁	ȵɐn2	～义
忍	ȵɐn1a	～耐，～受
刃	ȵɐn3	刀～
認	ȵɐn3	承～，～真
靭	ȵɐn5	不易断[白]
日	ȵɐt8a	十～，～期
巾	kɐn1a	围～
緊	kɐn3	～张
吉	kɐt8a	～利
僅	kɐn3	～～，不～
銀	ŋɐn2	金～，～行
釁	jɐn2	挑～
因	jɐn1a	原～
姻	jɐn1a	婚～
印	jɐn5	手～
乙	jɐt8a	天干，甲乙丙丁
一	jɐt8a	数字
寅	ȵɐn2	地支，子丑寅卯
引	jɐn3	吸～
逸	jɐt7	劳～结合
斤	kɐn1a	～两
筋	kɐn1a	牛～丸
謹	kɐn3	～慎，严～
勁	kɐn5	有～，～敌
訖	ŋɐt7	收～
乞	hɐt8a	～食，～求
勤	kʰɐn2	～劳
芹	kʰɐn2	～菜
近	kʰun1a	最～，～来[文]
近	kʰun1a	远近[白]
欣	jɐn1a	～赏
殷	jɐn1a	姓；～勤
隱	jɐn3	～形，～身
癮	jɐn3	喜欢；烟～
奔	pɐn1a	～跑，东～西走
本	pɐn3	～来，书～
不	pɐt8a	～过
噴	pʰɐn5	～水；～嚏
盆	pʰɐn2	面～（脸盆），～地
笨	pɐn5	～蛋[文]
笨	pɐn5	厚[白]
勃	pʰæk8b	勃，蓬～，生机～～
門	mɐn2	关～
悶	mɐn5	烦～，～热
沒	mɔ2	沉～，～有，出～
敦	tun1b	～厚；伦～（地名）
墩	tun3	桥～
頓	tun3	停～，～脚
褪	tʰui5	～色
屯	tʰun2	～田
豚	tʰuɔn2	海～
囤	tʰun2	～积
沌	tʰun2	混～
盾	tʰun3	矛～
鈍	tʰun3	迟～，～角
遁	tʰun3	逃～
凸	tʰuk8a	～起
突	tʰuk8a	～然
突	tʰuk8a	～出
嫩	nun3	不老
論	lun3	～语
崙	lun2	昆～
論	lun3	议～，～文
尊	ʦuɔn1a	～重
卒	ʦuk7	兵～，小～
村	ʦʰun1a	～长
寸	ʦʰun5	尺～
猝	ʦui5	仓～，～死
存	ʦʰuɔn2	～在，～折，储～
蹲	pɐi1b	～马（扎马步）[文]
蹲	pɐi1b	蹲下[白]
孫	ɬɐn1a	姓；子～
損	ɬiɐn3	～坏
遜	ɬian5	～色，谦～
昆	kʰuɐn1a	～明，～虫
滾	kuɐn3	～动；水开
棍	kuɐn5	长～
骨	kuɐt8a	～头
坤	kʰuɐn1a	乾～
綑	kʰɐn3	～绑
困	kʰɐn5	～难
窟	kʰɐt7	～窿[文]
窟	kʰuɐt7	小坑[白]
昏	fɐn1a	黄～
婚	fɐn1a	结～
忽	fɐt7	～然
魂	vɐn2	灵～
渾	vɐn2	～浊[文]
渾	vɐn2	水浑[白]
混	kuɐn3	～淆，相～
核	hɐt8a	～心，～对[文]
核	hɐt8a	龙眼～[白]
核	vɐt8a	～卵（睾丸）[白]
溫	vɐn1a	～度，～和
瘟	vɐn1a	鸡～
穩	vɐn3	～定，求～
倫	lun2	～理，天～之乐
淪	lun2	沉～
輪	lun2	车～，～流
律	luk8a	法～，～师
率	luk8a	效～
遵	ʦun1a	～守
俊	ʦun5	英～
筍	ɬun2	竹～
榫	ɬun3	～头（接合处）
迅	ɬɐn5	～速
戌	ɬɐt7	戊～变法
恤	ɬɐt8a	体～，抚～
旬	ʦʰun2	上～
循	ʦʰɐn2	遵～，～环
巡	ʦʰun2	～逻，出～
殉	sun1a	～职，～情
椿	ʦʰun1a	～树，香～
朮	ʦuk8a	白～（中药）
率	ɬɐt7	～领
蟀	ɬɐt7	蟋～
準	ʦun3	瞄～，～则
准	ʦun3	批～，～确
春	ʦʰun1a	立～
蠢	ʦʰun3	～才
出	ʦʰuk8a	～入，～发
脣	sun2	嘴～[文]
脣	sun2	嘴～[训，舷]
順	sun3	～利，～风
術	suk8a	技～
述	suk8a	叙～
舜	sun5	尧～
純	sɐn2	单～，～粹
醇	sɐn2	酒味～
潤	ȵɐn3	利～，～色
閏	ȵɐn3	～月
均	kuɐn1a	平～，～匀
鈞	kuɐn1a	千～一发
橘	kɐt8a	橘子
菌	kʰuɐn3	细～
勻	jun2	均～
允	jun3	～许
尹	vɐn1a	姓，～相杰
分	fɐn1b	～数，区～[文]
分	fɐn1a	给[白]
粉	fɐn3	～笔，面～[文]
粉	fɐn3	～松[白]
糞	fɐn5	粪便
奮	fɐn3	～斗
芬	fɐn1b	～芳
紛	fɐn1a	纠～
彿	fɐt8a	仿～
焚	fɐn2	～烧
墳	fɐn2	～墓，上～
憤	fɐn3	气～，～怒
忿	fɐn3	～～不平
份	fɐn3	～量
佛	fɐt8a	拜～
文	mɐn2	～章，论～
紋	mɐn2	花～
蚊	mɐn1a	～香
聞	mɐn2	新～
吻	mɐn3	接～
問	mɐn5	～题
物	mɐt8a	～理[文]
物	mɐt8a	～件[白]
勿	mɐt8a	非礼～视
君	kuɐn1a	～子
軍	kuɐn1a	～队，参～
屈	vɐt7	委～，～服[文]
屈	vɐt7	委屈，～气[白]
羣	kʰuɐn2	～众
裙	kʰuɐn2	裙子
郡	fɐn3	～主
掘	kʰɐt8a	挖～
倔	kʰɐt8a	～强
熏	fɐn1a	～陶，烟～人[文]
熏	fɐn1a	烟～人,～蚊[白]
勳	fɐn1b	～章
薰	fɐn1a	～衣草
訓	fɐn5	教～，～人
熨	tʰɔn5	～斗[训]
云	vɐn2	古人～
雲	vɐn2	乌～
韻	vɐn3	押～，～律
運	vɐn3	～气，好～
暈	vɐn2	～车，头～[训]
幫	pɔn1a	～忙
榜	pɔn3	～样
謗	pʰɔn3	诽～
博	pɔk8a	～士，广～
滂	pʰɔn2	～沱
泊	pʰɐt8a	梁山～
旁	pʰɔn2	～边
螃	pʰɔn3	～蟹
傍	pʰɔn2	～晚
薄	pʰɔk8a	不厚，～弱
泊	pʰæk8a	停～，淡～
忙	mɔn2	农～，～碌
芒	mɔn1b	～种[节气]
茫	mɔn2	白～～，～然
莽	mɔn3	鲁～
蟒	mɔn3	～蛇
莫	mɔk8a	不要，～非
膜	mɔk8a	薄～
幕	mɔn8a	报～，～布
寞	mɔk8a	寂～
摸	mɔ1b	偷偷～～[文]
摸	mɔ1a	～来～去[白]
當	tɔn1a	～时，应～，～官
襠	tɔn5	裤～
襠	tɔn5	裤～[白]
黨	tɔn3	入～，～员
擋	tɔn3	阻～，～风
當	tɔn1a	～铺，恰～；唔～（不如）
檔	tɔn3	～案
湯	tʰɔn1a	煮～；姓
倘	tʰɔn3	～使
躺	tʰɔn3	平～
燙	tʰɔn5	～手
趟	tʰɔn5	两～
託	tʰɔk8a	～词，推～
托	tʰɔk8a	手承物，～盘
堂	tʰɔn2	～兄，拜～，课～
棠	tʰɔn2	海～
螳	tʰɔn2	～螂
唐	tʰɔn2	～朝；姓
糖	tʰɔn2	白～
塘	tʰɔn2	鱼～
蕩	tʰɔn3	放～，扫～
盪	tʰɔn3	过水，～嘴，～碗[白]
度	tʰu3	思～
囊	nɔŋ2	背～
諾	nɔk8a	承～，～言
郞	lɔŋ2	新～；姓，～平
廊	lɔŋ2	走～
狼	lɔŋ2	～狈，豺～
螂	lɔŋ2	螳～
朗	lɔŋ3	～诵，明～
浪	lɔŋ3	风～，～费
落	lɔk8a	下落
烙	lɔk8a	～印
駱	lɔk8a	～驼
洛	lɔk8a	～阳（地名）
絡	lɔk8a	联～
樂	lɔk8a	～观，快～
贓	ʦɔn1a	～款，贪～枉法
髒	ʦɔn1a	肮～
葬	ʦɔn5	埋～，落～
作	ʦɔk8a	工～，种～
倉	ʦʰɔn1a	～库
蒼	ʦʰɔn1a	～白
錯	tʰɔ5	～开，～杂
藏	tʰɔn2	隐～
藏	ʦʰɔn3	西～，～族
臟	ʦʰɔn3	内～
鑿	tʰɔk8a	用凿子凿
昨	ʦɔk8a	昨天
桑	ɬɔn1a	～叶
喪	ɬɔn5	婚～，～事
嗓	ɬɔn1a	金～子
喪	ɬɔn5	～失
索	ɬɔk8a	绳子，线～
岡	kɔn1a	井～山（地名）
崗	kɔn1a	站～，～位
剛	kɔn1a	～才，～好
綱	kɔn1a	～常，大～
鋼	kɔn5	炼～，～笔
缸	kɔn1a	水～
杠	kʰɔn1a	高低～
各	kɔk8a	～人
閣	kɔk8a	～楼；～下
擱	kɔk8a	耽～
康	hɔn1a	健～
糠	hɔn1a	谷～
慷	hɔn1a	～慨
抗	kʰɔn5	反～，～战
囥	ʔɐm1a	藏
昂	ŋɔŋ1a	～首挺胸，气～～
鄂	ŋɔk8a	湖北简称
鰐	ŋɔk8a	～鱼
行	hɔŋ2	银～
航	hɔŋ2	～行，～线
杭	hɔŋ2	～州
鶴	hɔk8a	仙～
骯	ʔɔŋ1a	～脏
惡	ʔɔk8a	善～，～霸
娘	niœŋ2	姑～
釀	ȵiœŋ2	～豆腐[训]
良	liœŋ2	～好，优～
凉	liœŋ2	天～
量	liœŋ2	衡～，～尺寸
糧	liœŋ2	～食
樑	liœŋ2	姓；～山（地名）
粱	liœŋ2	高～，黄～美梦
兩	liœŋ3	～个
兩	liœŋ1a	半斤八～
亮	liœŋ5	明～
諒	liœŋ5	原～，～解
輛	liœŋ1a	车～，两～
量	liœŋ5	数～
略	lœk8a	省～
掠	lœk8a	～夺
將	ʦiœŋ1a	～来；～军
漿	ʦiœŋ5	豆～，～糊
蔣	ʦiœŋ3	姓，～介石
獎	ʦiœŋ3	～金，得～
槳	ʦiœŋ3	船～
醬	ʦiœŋ3	沙茶～，辣椒～
將	ʦiœŋ3	大～，～士
爵	ʦʰiœt8a	官～，～位
雀	ʦʰiœt8a	麻～，～斑
槍	ʦʰiœŋ1a	手～
搶	ʦʰiœŋ3	～劫
鵲	ʦʰiœt8a	喜～，鸦～
牆	ʦʰiœŋ2	～壁
匠	ʦʰiœŋ3	木～
嚼	ʦʰiœt8a	咀～，～碎
相	ɬiœŋ1a	互～，～打（打架）
箱	ɬiœŋ1a	皮～
廂	ɬiœŋ1a	～房，车～
湘	ɬiœŋ1a	湖南简称，～江
襄	ɬiœŋ1a	～阳（地名）
鑲	ɬiœŋ1a	～牙
想	ɬiœŋ3	～法，思～
相	ɬiœŋ5	宰～，看～，～貌
削	ɬiœt8a	～皮，剥～
詳	ʦʰɔŋ2	～细
祥	ʦʰian2	慈～，吉～
象	ʦʰian3	气～
象	ʦʰian3	大～
象	ʦʰian3	印～，想～
像	ʦʰian5	好～，相～
像	ʦʰian3	头～，～章
橡	ʦʰian3	～胶，～树
張	ʦɔŋ1a	紧～；姓；装东西
長	ʦɔŋ3	生～，省～
漲	ʦɔn5	～价，～潮
帳	ʦɔn5	蚊～
賬	ʦɔn5	算～，～簿
脹	ʦɔn5	～肚，膨～
着	ʦɔk8a	～衫（穿衣服）
暢	tʰɔŋ5	～快，通～
長	tʰɔŋ2	～期，～短
腸	tʰɔŋ2	猪～，～胃
場	tʰɔŋ2	排～，～地
丈	tʰɔŋ3	三丈
丈	ʦʰɔŋ3	姑～
仗	ʦɔŋ5	打～；炮～（鞭炮）
杖	ʦʰɔŋ3	拐～
着	ʦʰɔk8a	～火
莊	ʦɔŋ1a	～园；姓
裝	ʦɔŋ1a	假～
妝	ʦɔŋ1a	化～
壯	ʦɔŋ5	强～
瘡	ʦʰɔŋ1a	痔～
闖	ʦʰɔŋ5	～祸，李～王
創	ʦʰɔŋ5	开～，～造
牀	ʦʰɔŋ2	眠～
狀	ʦʰɔŋ3	告～，～元，～态
霜	ɬiœŋ1a	落～，～降
孀	ɬɔŋ1a	遗～
爽	ɬɔŋ3	～快，直～
章	ʦɔŋ1a	姓；文～
樟	ʦɔŋ1a	～脑丸；～木头（地名）
掌	ʦɔŋ3	巴～，～握
障	ʦɔn5	保～
瘴	ʦɔŋ5	～气
嶂	ʦɔŋ1a	耸立如屏障的山峰
酌	ʦʰœk8a	斟～，～情
昌	ʦʰɔŋ1a	～盛
菖	ʦʰɔŋ1a	～蒲
廠	ʦʰɔŋ3	～长
唱	ʦʰɔŋ5	～歌
倡	ʦʰɔŋ1a	提～
綽	ʦʰɔk8a	～～有余，～号
商	sɔŋ1a	～量，经～
傷	sɔŋ1a	受～
賞	sɔŋ3	欣～，～金
餉	sɔŋ3	军～
常	sɔŋ2	经～，～识；姓
嘗	sɔŋ2	～试，品～
償	sɔŋ2	赔～
上	sɔŋ1a	～山[动]
